                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     111640 |     122711 |     116809 |      99770
  Cycles                             |     410235 |     410235 |     410235 |     410235
  IPC                                |       0.27 |       0.30 |       0.28 |       0.24
  Time (ns)                          |     154224 |     154224 |     154224 |     154224
  Idle time (ns)                     |     106998 |     100747 |     102106 |     114841
  Idle time (%)                      |      69.4% |      65.3% |      66.2% |      74.5%
Branch predictor stats               |            |            |            |           
  num correct                        |      11288 |      13095 |      12107 |       9285
  num incorrect                      |        159 |        201 |        206 |        188
  misprediction rate                 |      1.39% |      1.51% |      1.67% |      1.98%
  mpki                               |       1.42 |       1.64 |       1.76 |       1.88
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      28884 |      32583 |      30619 |      24939
    num cache misses                 |         16 |         16 |         17 |         17
    miss rate                        |      0.06% |      0.05% |      0.06% |      0.07%
    mpki                             |       0.14 |       0.13 |       0.15 |       0.17
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      65351 |      70894 |      67944 |      59424
    num cache misses                 |       8379 |       8697 |       8746 |       6052
    miss rate                        |     12.82% |     12.27% |     12.87% |     10.18%
    mpki                             |      75.05 |      70.87 |      74.87 |      60.66
  Cache L2                           |            |            |            |           
    num cache accesses               |       8518 |       8912 |       8899 |       6187
    num cache misses                 |         20 |          8 |          9 |         10
    miss rate                        |      0.23% |      0.09% |      0.10% |      0.16%
    mpki                             |       0.18 |       0.07 |       0.08 |       0.10
  Cache L3                           |            |            |            |           
    num cache accesses               |         22 |         11 |         12 |         13
    num cache misses                 |         20 |          8 |          9 |         10
    miss rate                        |     90.91% |     72.73% |     75.00% |     76.92%
    mpki                             |       0.18 |       0.07 |       0.08 |       0.10
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     116.11 |        inf |        inf |        inf
  average dram queueing delay        |      62.68 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          3 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
