                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     487281 |     536507 |     513264 |     558639 |     472123 |     521488 |     505002 |     526895
  Cycles                             |    3450329 |    3450329 |    3450329 |    3450329 |    3450329 |    3450329 |    3450329 |    3450329
  IPC                                |       0.14 |       0.16 |       0.15 |       0.16 |       0.14 |       0.15 |       0.15 |       0.15
  Time (ns)                          |    1297116 |    1297116 |    1297116 |    1297116 |    1297116 |    1297116 |    1297116 |    1297116
  Idle time (ns)                     |     135844 |     117237 |     184872 |     137819 |     135447 |     101143 |     207154 |     218425
  Idle time (%)                      |      10.5% |       9.0% |      14.3% |      10.6% |      10.4% |       7.8% |      16.0% |      16.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      63357 |      71565 |      67699 |      75258 |      60844 |      69045 |      66310 |      69989
  num incorrect                      |        197 |        198 |        191 |        194 |        189 |        215 |        203 |        172
  misprediction rate                 |      0.31% |      0.28% |      0.28% |      0.26% |      0.31% |      0.31% |      0.31% |      0.25%
  mpki                               |       0.40 |       0.37 |       0.37 |       0.35 |       0.40 |       0.41 |       0.40 |       0.33
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     133098 |     149519 |     141769 |     156894 |     128055 |     144507 |     139015 |     146315
    num cache misses                 |         16 |         17 |         17 |         16 |         17 |         16 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     275672 |     300294 |     288669 |     311358 |     268098 |     292780 |     284538 |     295488
    num cache misses                 |      64063 |      56615 |      54981 |      58505 |      51402 |      55561 |      53064 |      53699
    miss rate                        |     23.24% |     18.85% |     19.05% |     18.79% |     19.17% |     18.98% |     18.65% |     18.17%
    mpki                             |     131.47 |     105.53 |     107.12 |     104.73 |     108.87 |     106.54 |     105.08 |     101.92
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      64158 |      56705 |      55052 |      58574 |      51531 |      55657 |      53203 |      53807
    num cache misses                 |      35388 |      29548 |      27315 |      27742 |      32348 |      32380 |      28204 |      26885
    miss rate                        |     55.16% |     52.11% |     49.62% |     47.36% |     62.77% |     58.18% |     53.01% |     49.97%
    mpki                             |      72.62 |      55.07 |      53.22 |      49.66 |      68.52 |      62.09 |      55.85 |      51.03
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      35429 |      29578 |      27347 |      27761 |      32425 |      32441 |      28293 |      26960
    num cache misses                 |         17 |          7 |          6 |         12 |          8 |          7 |          8 |          8
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.04% |      0.02% |      0.02% |      0.03% |      0.03%
    mpki                             |       0.03 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     118.76 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      65.33 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          5 |          3 |          4 |          4 |          4 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
