                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     251913 |     232390 |     239130 |     195661
  Cycles                             |     416500 |     416500 |     416500 |     416500
  IPC                                |       0.60 |       0.56 |       0.57 |       0.47
  Time (ns)                          |     156579 |     156579 |     156579 |     156579
  Idle time (ns)                     |      99873 |     101855 |     101507 |     110238
  Idle time (%)                      |      63.8% |      65.1% |      64.8% |      70.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      50106 |      45122 |      46860 |      36000
  num incorrect                      |        371 |        472 |        419 |        410
  misprediction rate                 |      0.73% |      1.04% |      0.89% |      1.13%
  mpki                               |       1.47 |       2.03 |       1.75 |       2.10
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     103926 |      94158 |      97523 |      75771
    num cache misses                 |         13 |         16 |         16 |         15
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.05 |       0.07 |       0.07 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     135987 |     126221 |     129589 |     107857
    num cache misses                 |       4854 |       4707 |       4839 |       4012
    miss rate                        |      3.57% |      3.73% |      3.73% |      3.72%
    mpki                             |      19.27 |      20.25 |      20.24 |      20.50
  Cache L2                           |            |            |            |           
    num cache accesses               |       5587 |       5586 |       5691 |       4784
    num cache misses                 |         13 |          6 |          9 |         14
    miss rate                        |      0.23% |      0.11% |      0.16% |      0.29%
    mpki                             |       0.05 |       0.03 |       0.04 |       0.07
  Cache L3                           |            |            |            |           
    num cache accesses               |         15 |          9 |         12 |         15
    num cache misses                 |         13 |          6 |          9 |         14
    miss rate                        |     86.67% |     66.67% |     75.00% |     93.33%
    mpki                             |       0.05 |       0.03 |       0.04 |       0.07
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     180.50 |        inf |        inf |        inf
  average dram queueing delay        |     127.07 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
