                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    5155803 |    5171468 |    4844604 |    4497961 |    5344143 |    5488681 |    5349585 |    5361004 |    4827047 |    5374142 |    5245662 |    5045479 |    5564148 |    5270987 |    4436635 |    5513518
  Cycles                             |    4840569 |    4840569 |    4840569 |    4840569 |    4840569 |    4840569 |    4840569 |    4840569 |    4840569 |    4840569 |    4840569 |    4840569 |    4840569 |    4840569 |    4840569 |    4840569
  IPC                                |       1.07 |       1.07 |       1.00 |       0.93 |       1.10 |       1.13 |       1.11 |       1.11 |       1.00 |       1.11 |       1.08 |       1.04 |       1.15 |       1.09 |       0.92 |       1.14
  Time (ns)                          |    1819763 |    1819763 |    1819763 |    1819763 |    1819763 |    1819763 |    1819763 |    1819763 |    1819763 |    1819763 |    1819763 |    1819763 |    1819763 |    1819763 |    1819763 |    1819763
  Idle time (ns)                     |     127864 |     126126 |     237577 |     354884 |      75984 |      18612 |      59029 |      59441 |     259508 |      78364 |     109235 |     189421 |       6880 |     108046 |     395927 |       4607
  Idle time (%)                      |       7.0% |       6.9% |      13.1% |      19.5% |       4.2% |       1.0% |       3.2% |       3.3% |      14.3% |       4.3% |       6.0% |      10.4% |       0.4% |       5.9% |      21.8% |       0.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1255145 |    1259097 |    1177246 |    1090714 |    1302194 |    1338430 |    1303563 |    1306467 |    1173036 |    1309755 |    1277547 |    1227473 |    1357244 |    1283943 |    1075364 |    1344539
  num incorrect                      |        777 |        746 |        889 |        753 |        826 |        736 |        816 |        763 |        709 |        776 |        837 |        863 |        772 |        766 |        771 |        818
  misprediction rate                 |      0.06% |      0.06% |      0.08% |      0.07% |      0.06% |      0.05% |      0.06% |      0.06% |      0.06% |      0.06% |      0.07% |      0.07% |      0.06% |      0.06% |      0.07% |      0.06%
  mpki                               |       0.15 |       0.14 |       0.18 |       0.17 |       0.15 |       0.13 |       0.15 |       0.14 |       0.15 |       0.14 |       0.16 |       0.17 |       0.14 |       0.15 |       0.17 |       0.15
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2514745 |    2522600 |    2359201 |    2185865 |    2608976 |    2681276 |    2611690 |    2617382 |    2350403 |    2624002 |    2559681 |    2459579 |    2718949 |    2572317 |    2155203 |    2693638
    num cache misses                 |         16 |         16 |         16 |         17 |         16 |         15 |         16 |         16 |         16 |         15 |         17 |         17 |         16 |         17 |         17 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2609907 |    2617743 |    2454328 |    2280993 |    2704086 |    2776371 |    2706806 |    2712513 |    2445540 |    2719097 |    2654838 |    2554745 |    2814091 |    2667495 |    2250330 |    2788773
    num cache misses                 |      21016 |      21132 |      19484 |      17829 |      21677 |      22517 |      21987 |      21746 |      18913 |      21468 |      21091 |      19810 |      22232 |      21127 |      17056 |      22252
    miss rate                        |      0.81% |      0.81% |      0.79% |      0.78% |      0.80% |      0.81% |      0.81% |      0.80% |      0.77% |      0.79% |      0.79% |      0.78% |      0.79% |      0.79% |      0.76% |      0.80%
    mpki                             |       4.08 |       4.09 |       4.02 |       3.96 |       4.06 |       4.10 |       4.11 |       4.06 |       3.92 |       3.99 |       4.02 |       3.93 |       4.00 |       4.01 |       3.84 |       4.04
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
