                                     | Core 0     | Core 1    
  Instructions                       |     552797 |     570565
  Cycles                             |     709741 |     709741
  IPC                                |       0.78 |       0.80
  Time (ns)                          |     266820 |     266820
  Idle time (ns)                     |     103049 |      99292
  Idle time (%)                      |      38.6% |      37.2%
Branch predictor stats               |            |           
  num correct                        |     105198 |     109639
  num incorrect                      |        253 |        263
  misprediction rate                 |      0.24% |      0.24%
  mpki                               |       0.46 |       0.46
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     213884 |     222793
    num cache misses                 |         15 |         15
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     308930 |     317822
    num cache misses                 |       2170 |       2365
    miss rate                        |      0.70% |      0.74%
    mpki                             |       3.93 |       4.15
  Cache L2                           |            |           
    num cache accesses               |       3095 |       3095
    num cache misses                 |         23 |          8
    miss rate                        |      0.74% |      0.26%
    mpki                             |       0.04 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         25 |         11
    num cache misses                 |         23 |          8
    miss rate                        |     92.00% |     72.73%
    mpki                             |       0.04 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      97.49 |        inf
  average dram queueing delay        |      44.06 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
