                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3306468 |    3762176 |    2896132 |    3292804 |    3573595 |    3646531 |    3370997 |    3713062
  Cycles                             |    2669619 |    2669619 |    2669619 |    2669619 |    2669619 |    2669619 |    2669619 |    2669619
  IPC                                |       1.24 |       1.41 |       1.08 |       1.23 |       1.34 |       1.37 |       1.26 |       1.39
  Time (ns)                          |    1003616 |    1003616 |    1003616 |    1003616 |    1003616 |    1003616 |    1003616 |    1003616
  Idle time (ns)                     |     145456 |     102107 |     288278 |     220082 |     104633 |     116264 |     184597 |     121211
  Idle time (%)                      |      14.5% |      10.2% |      28.7% |      21.9% |      10.4% |      11.6% |      18.4% |      12.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     792779 |     906635 |     690143 |     789365 |     859638 |     877756 |     808862 |     894457
  num incorrect                      |        817 |        883 |        871 |        821 |        749 |        860 |        870 |        788
  misprediction rate                 |      0.10% |      0.10% |      0.13% |      0.10% |      0.09% |      0.10% |      0.11% |      0.09%
  mpki                               |       0.25 |       0.23 |       0.30 |       0.25 |       0.21 |       0.24 |       0.26 |       0.21
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1590117 |    1817935 |    1384945 |    1583295 |    1723705 |    1760145 |    1622379 |    1793412
    num cache misses                 |         16 |         15 |         16 |         16 |         16 |         15 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1685249 |    1913105 |    1480088 |    1678423 |    1818822 |    1855283 |    1717519 |    1888554
    num cache misses                 |      10435 |      10959 |       9048 |       9775 |      10668 |      10496 |       9211 |       9877
    miss rate                        |      0.62% |      0.57% |      0.61% |      0.58% |      0.59% |      0.57% |      0.54% |      0.52%
    mpki                             |       3.16 |       2.91 |       3.12 |       2.97 |       2.99 |       2.88 |       2.73 |       2.66
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11886 |      11857 |      10008 |      10738 |      11767 |      11598 |      10371 |      11012
    num cache misses                 |       3624 |       1826 |        875 |        744 |       2748 |       1822 |       1181 |        946
    miss rate                        |     30.49% |     15.40% |      8.74% |      6.93% |     23.35% |     15.71% |     11.39% |      8.59%
    mpki                             |       1.10 |       0.49 |       0.30 |       0.23 |       0.77 |       0.50 |       0.35 |       0.25
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4626 |       2422 |       1434 |       1233 |       3594 |       2487 |       1895 |       1738
    num cache misses                 |         11 |         10 |          6 |         11 |          4 |          4 |          4 |          6
    miss rate                        |      0.24% |      0.41% |      0.42% |      0.89% |      0.11% |      0.16% |      0.21% |      0.35%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     114.47 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      61.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          6 |          4 |          4 |          3 |          4 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
