                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    4315947 |    4356023 |    4417119 |    5061465 |    4276358 |    4360776 |    4643533 |    4330505
  Cycles                             |   29831602 |   29831602 |   29831602 |   29831602 |   29831602 |   29831602 |   29831602 |   29831602
  IPC                                |       0.14 |       0.15 |       0.15 |       0.17 |       0.14 |       0.15 |       0.16 |       0.15
  Time (ns)                          |   11214888 |   11214888 |   11214888 |   11214888 |   11214888 |   11214888 |   11214888 |   11214888
  Idle time (ns)                     |     247610 |     705531 |    1309974 |     102082 |     242866 |     667168 |     577488 |    2187492
  Idle time (%)                      |       2.2% |       6.3% |      11.7% |       0.9% |       2.2% |       5.9% |       5.1% |      19.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     596392 |     603051 |     613276 |     720687 |     589801 |     603885 |     651010 |     598872
  num incorrect                      |        273 |        297 |        256 |        233 |        272 |        254 |        257 |        224
  misprediction rate                 |      0.05% |      0.05% |      0.04% |      0.03% |      0.05% |      0.04% |      0.04% |      0.04%
  mpki                               |       0.06 |       0.07 |       0.06 |       0.05 |       0.06 |       0.06 |       0.06 |       0.05
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1199320 |    1212687 |    1233053 |    1447833 |    1186135 |    1214269 |    1308527 |    1204185
    num cache misses                 |         16 |         17 |         17 |         16 |         16 |         17 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2415005 |    2435050 |    2465596 |    2787775 |    2395213 |    2437426 |    2578807 |    2422293
    num cache misses                 |     560060 |     483306 |     479001 |     552735 |     470960 |     481677 |     503740 |     442720
    miss rate                        |     23.19% |     19.85% |     19.43% |     19.83% |     19.66% |     19.76% |     19.53% |     18.28%
    mpki                             |     129.77 |     110.95 |     108.44 |     109.20 |     110.13 |     110.46 |     108.48 |     102.23
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     560083 |     483339 |     479029 |     552767 |     471053 |     481752 |     503817 |     442792
    num cache misses                 |     306605 |     249581 |     231876 |     263128 |     292432 |     274057 |     270426 |     214070
    miss rate                        |     54.74% |     51.64% |     48.41% |     47.60% |     62.08% |     56.89% |     53.68% |     48.35%
    mpki                             |      71.04 |      57.30 |      52.49 |      51.99 |      68.38 |      62.85 |      58.24 |      49.43
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     306607 |     249584 |     231880 |     263131 |     292499 |     274110 |     270476 |     214119
    num cache misses                 |         12 |         12 |          4 |          4 |          4 |          6 |          4 |         11
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     114.25 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      60.82 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          5 |          3 |          3 |          3 |          4 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
