                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3551421 |    3564262 |    3734222 |    6399187 |    4915909 |    4013147 |    3913273 |    3709032
  Cycles                             |   30337243 |   30337243 |   30337243 |   30337243 |   30337243 |   30337243 |   30337243 |   30337243
  IPC                                |       0.12 |       0.12 |       0.12 |       0.21 |       0.16 |       0.13 |       0.13 |       0.12
  Time (ns)                          |   11404979 |   11404979 |   11404979 |   11404979 |   11404979 |   11404979 |   11404979 |   11404979
  Idle time (ns)                     |     891587 |    1907356 |    2192659 |     337464 |     101082 |     855902 |    1534827 |    3070828
  Idle time (%)                      |       7.8% |      16.7% |      19.2% |       3.0% |       0.9% |       7.5% |      13.5% |      26.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     542473 |     545012 |     579017 |    1111985 |     815345 |     634787 |     614807 |     574002
  num incorrect                      |        217 |        242 |        229 |        254 |        236 |        242 |        254 |        204
  misprediction rate                 |      0.04% |      0.04% |      0.04% |      0.02% |      0.03% |      0.04% |      0.04% |      0.04%
  mpki                               |       0.06 |       0.07 |       0.06 |       0.04 |       0.05 |       0.06 |       0.06 |       0.06
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1091370 |    1096499 |    1164483 |    2230469 |    1637146 |    1276044 |    1236117 |    1154398
    num cache misses                 |         16 |         17 |         17 |         17 |         18 |         18 |         17 |         18
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2253080 |    2260769 |    2362745 |    3961724 |    3071751 |    2530094 |    2470193 |    2347625
    num cache misses                 |     582330 |     458923 |     466310 |     541061 |     496124 |     502736 |     484447 |     416397
    miss rate                        |     25.85% |     20.30% |     19.74% |     13.66% |     16.15% |     19.87% |     19.61% |     17.74%
    mpki                             |     163.97 |     128.76 |     124.87 |      84.55 |     100.92 |     125.27 |     123.80 |     112.27
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     582398 |     459008 |     466396 |     541148 |     496150 |     502773 |     484469 |     416423
    num cache misses                 |     321708 |     222226 |     206640 |     250065 |     298283 |     268327 |     243767 |     190465
    miss rate                        |     55.24% |     48.41% |     44.31% |     46.21% |     60.12% |     53.37% |     50.32% |     45.74%
    mpki                             |      90.59 |      62.35 |      55.34 |      39.08 |      60.68 |      66.86 |      62.29 |      51.35
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     321752 |     222280 |     206699 |     250126 |     298287 |     268330 |     243769 |     190468
    num cache misses                 |          9 |         17 |         11 |         11 |         12 |         10 |          6 |          7
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     185.51 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     132.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          4 |          3 |          2 |          4 |          5 |          3 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
