                                     | Core 0     | Core 1    
  Instructions                       |    1402993 |    1403819
  Cycles                             |   12408387 |   12408387
  IPC                                |       0.11 |       0.11
  Time (ns)                          |    4664807 |    4664807
  Idle time (ns)                     |    3301968 |    3301060
  Idle time (%)                      |      70.8% |      70.8%
Branch predictor stats               |            |           
  num correct                        |     110728 |     110608
  num incorrect                      |        551 |        541
  misprediction rate                 |      0.50% |      0.49%
  mpki                               |       0.39 |       0.39
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      19559 |      19809
    num cache misses                 |         22 |         24
    miss rate                        |      0.11% |      0.12%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     950761 |     951376
    num cache misses                 |       1937 |       2191
    miss rate                        |      0.20% |      0.23%
    mpki                             |       1.38 |       1.56
  Cache L2                           |            |           
    num cache accesses               |       2513 |       2514
    num cache misses                 |         31 |         19
    miss rate                        |      1.23% |      0.76%
    mpki                             |       0.02 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         33 |         22
    num cache misses                 |         31 |         19
    miss rate                        |     93.94% |     86.36%
    mpki                             |       0.02 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         44 |          0
  average dram access latency (ns)   |      96.67 |        inf
  average dram queueing delay        |      43.24 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          7 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
