                                     | Core 0     | Core 1    
  Instructions                       |      96736 |     118572
  Cycles                             |     336713 |     336713
  IPC                                |       0.29 |       0.35
  Time (ns)                          |     126584 |     126584
  Idle time (ns)                     |     105086 |     100610
  Idle time (%)                      |      83.0% |      79.5%
Branch predictor stats               |            |           
  num correct                        |      11273 |      16712
  num incorrect                      |        162 |        180
  misprediction rate                 |      1.42% |      1.07%
  mpki                               |       1.67 |       1.52
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      25855 |      36760
    num cache misses                 |         16 |         16
    miss rate                        |      0.06% |      0.04%
    mpki                             |       0.17 |       0.13
  Cache L1-D                         |            |           
    num cache accesses               |      57897 |      68816
    num cache misses                 |       1163 |       1436
    miss rate                        |      2.01% |      2.09%
    mpki                             |      12.02 |      12.11
  Cache L2                           |            |           
    num cache accesses               |       1760 |       1763
    num cache misses                 |         18 |         15
    miss rate                        |      1.02% |      0.85%
    mpki                             |       0.19 |       0.13
  Cache L3                           |            |           
    num cache accesses               |         19 |         19
    num cache misses                 |         18 |         15
    miss rate                        |     94.74% |     78.95%
    mpki                             |       0.19 |       0.13
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |     102.25 |        inf
  average dram queueing delay        |      48.82 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          2 |          7
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
