                                     | Core 0     | Core 1    
  Instructions                       |     581509 |     509537
  Cycles                             |     712856 |     712856
  IPC                                |       0.82 |       0.71
  Time (ns)                          |     267991 |     267991
  Idle time (ns)                     |      98222 |     110396
  Idle time (%)                      |      36.7% |      41.2%
Branch predictor stats               |            |           
  num correct                        |     112384 |      94337
  num incorrect                      |        245 |        295
  misprediction rate                 |      0.22% |      0.31%
  mpki                               |       0.42 |       0.58
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     228242 |     192241
    num cache misses                 |         13 |         16
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.02 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     323285 |     287295
    num cache misses                 |       2151 |       2278
    miss rate                        |      0.67% |      0.79%
    mpki                             |       3.70 |       4.47
  Cache L2                           |            |           
    num cache accesses               |       3001 |       3004
    num cache misses                 |         21 |          9
    miss rate                        |      0.70% |      0.30%
    mpki                             |       0.04 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         23 |         12
    num cache misses                 |         21 |          9
    miss rate                        |     91.30% |     75.00%
    mpki                             |       0.04 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |     114.68 |        inf
  average dram queueing delay        |      61.25 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
