                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     509865 |     655109 |     573580 |     698135 |     638695 |     630197 |     655431 |     701128
  Cycles                             |     868420 |     868420 |     868420 |     868420 |     868420 |     868420 |     868420 |     868420
  IPC                                |       0.59 |       0.75 |       0.66 |       0.80 |       0.74 |       0.73 |       0.75 |       0.81
  Time (ns)                          |     326474 |     326474 |     326474 |     326474 |     326474 |     326474 |     326474 |     326474
  Idle time (ns)                     |     102690 |     101747 |     145665 |     121463 |     101055 |     112730 |     127450 |     123747
  Idle time (%)                      |      31.5% |      31.2% |      44.6% |      37.2% |      31.0% |      34.5% |      39.0% |      37.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     114587 |     150822 |     130373 |     161599 |     146806 |     144494 |     150958 |     162325
  num incorrect                      |        378 |        464 |        526 |        442 |        375 |        558 |        411 |        467
  misprediction rate                 |      0.33% |      0.31% |      0.40% |      0.27% |      0.25% |      0.38% |      0.27% |      0.29%
  mpki                               |       0.74 |       0.71 |       0.92 |       0.63 |       0.59 |       0.89 |       0.63 |       0.67
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     232900 |     305537 |     264758 |     327063 |     297336 |     293054 |     305713 |     328555
    num cache misses                 |         15 |         15 |         15 |         16 |         14 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.00% |      0.01% |      0.00% |      0.00% |      0.01% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     264964 |     337592 |     296827 |     359107 |     329384 |     325135 |     337753 |     360601
    num cache misses                 |       9055 |       9721 |       7890 |       9020 |       8695 |       8447 |       8008 |       7906
    miss rate                        |      3.42% |      2.88% |      2.66% |      2.51% |      2.64% |      2.60% |      2.37% |      2.19%
    mpki                             |      17.76 |      14.84 |      13.76 |      12.92 |      13.61 |      13.40 |      12.22 |      11.28
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10364 |      10548 |       8746 |       9873 |       9738 |       9452 |       8985 |       8831
    num cache misses                 |       3228 |       2230 |       1316 |       1326 |       2577 |       2131 |       1548 |       1305
    miss rate                        |     31.15% |     21.14% |     15.05% |     13.43% |     26.46% |     22.55% |     17.23% |     14.78%
    mpki                             |       6.33 |       3.40 |       2.29 |       1.90 |       4.03 |       3.38 |       2.36 |       1.86
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4292 |       2859 |       1909 |       1929 |       3534 |       3007 |       2385 |       2062
    num cache misses                 |         23 |          4 |          6 |          7 |          6 |          5 |          4 |          5
    miss rate                        |      0.54% |      0.14% |      0.31% |      0.36% |      0.17% |      0.17% |      0.17% |      0.24%
    mpki                             |       0.05 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     177.39 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     123.96 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          3 |          4 |          3 |          4 |          4 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
