                                     | Core 0     | Core 1    
  Instructions                       |     221502 |     221315
  Cycles                             |    1517589 |    1517589
  IPC                                |       0.15 |       0.15
  Time (ns)                          |     570522 |     570522
  Idle time (ns)                     |     430766 |     431535
  Idle time (%)                      |      75.5% |      75.6%
Branch predictor stats               |            |           
  num correct                        |      19642 |      19590
  num incorrect                      |       1020 |       1026
  misprediction rate                 |      4.94% |      4.98%
  mpki                               |       4.60 |       4.64
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      18462 |      18457
    num cache misses                 |         22 |         25
    miss rate                        |      0.12% |      0.14%
    mpki                             |       0.10 |       0.11
  Cache L1-D                         |            |           
    num cache accesses               |     136136 |     136087
    num cache misses                 |       1634 |       1790
    miss rate                        |      1.20% |      1.32%
    mpki                             |       7.38 |       8.09
  Cache L2                           |            |           
    num cache accesses               |       2490 |       2491
    num cache misses                 |         35 |         13
    miss rate                        |      1.41% |      0.52%
    mpki                             |       0.16 |       0.06
  Cache L3                           |            |           
    num cache accesses               |         37 |         16
    num cache misses                 |         35 |         13
    miss rate                        |     94.59% |     81.25%
    mpki                             |       0.16 |       0.06
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |      97.20 |        inf
  average dram queueing delay        |      43.77 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
