                                     | Core 0     | Core 1    
  Instructions                       |    4089723 |    4640019
  Cycles                             |    7067351 |    7067351
  IPC                                |       0.58 |       0.66
  Time (ns)                          |    2656899 |    2656899
  Idle time (ns)                     |     306855 |      99170
  Idle time (%)                      |      11.5% |       3.7%
Branch predictor stats               |            |           
  num correct                        |     558676 |     650395
  num incorrect                      |        285 |        286
  misprediction rate                 |      0.05% |      0.04%
  mpki                               |       0.07 |       0.06
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1123912 |    1307353
    num cache misses                 |         16 |         16
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    2301893 |    2577049
    num cache misses                 |       3726 |       3845
    miss rate                        |      0.16% |      0.15%
    mpki                             |       0.91 |       0.83
  Cache L2                           |            |           
    num cache accesses               |       3864 |       3864
    num cache misses                 |         25 |          8
    miss rate                        |      0.65% |      0.21%
    mpki                             |       0.01 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         27 |         11
    num cache misses                 |         25 |          8
    miss rate                        |     92.59% |     72.73%
    mpki                             |       0.01 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     100.39 |        inf
  average dram queueing delay        |      46.96 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
