                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   89888646 |   83551771 |   76599617 |   90097861 |   89005872 |   85298160 |   86001509 |   90996835 |   89750253 |   91196092 |   89026517 |   89402575 |   88100877 |   89143750 |   86282376 |   83771923
  Cycles                             |   50924803 |   50924803 |   50924803 |   50924803 |   50924803 |   50924803 |   50924803 |   50924803 |   50924803 |   50924803 |   50924803 |   50924803 |   50924803 |   50924803 |   50924803 |   50924803
  IPC                                |       1.77 |       1.64 |       1.50 |       1.77 |       1.75 |       1.67 |       1.69 |       1.79 |       1.76 |       1.79 |       1.75 |       1.76 |       1.73 |       1.75 |       1.69 |       1.65
  Time (ns)                          |   19144663 |   19144663 |   19144663 |   19144663 |   19144663 |   19144663 |   19144663 |   19144663 |   19144663 |   19144663 |   19144663 |   19144663 |   19144663 |   19144663 |   19144663 |   19144663
  Idle time (ns)                     |     242922 |    1516287 |    2894798 |     212487 |     439692 |    1172396 |    1048780 |      43789 |     268015 |       4550 |     430163 |     363255 |     612299 |     428826 |     999591 |    1504166
  Idle time (%)                      |       1.3% |       7.9% |      15.1% |       1.1% |       2.3% |       6.1% |       5.5% |       0.2% |       1.4% |       0.0% |       2.2% |       1.9% |       3.2% |       2.2% |       5.2% |       7.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   22235530 |   20651285 |   18913275 |   22287695 |   22014816 |   21087894 |   21263705 |   22512517 |   22200868 |   22562299 |   22019897 |   22113977 |   21788553 |   22049237 |   21333943 |   20706295
  num incorrect                      |       1112 |       1137 |       1107 |       1242 |       1134 |       1128 |       1155 |       1174 |       1170 |       1202 |       1204 |       1149 |       1147 |       1185 |       1134 |       1162
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   44476213 |   41307752 |   37831665 |   44580767 |   44034814 |   42180958 |   42532636 |   45030290 |   44406964 |   45129900 |   44045082 |   44233160 |   43582309 |   44103758 |   42673064 |   41417811
