                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     107182 |     107147 |     106438 |     106981 |     106180 |     106187 |     106862 |     106601 |     105691 |     105323 |     104806 |     105172 |     107573 |     106265 |     106513 |     106564
  Cycles                             |    3859675 |    3859675 |    3859675 |    3859675 |    3859675 |    3859675 |    3859675 |    3859675 |    3859675 |    3859675 |    3859675 |    3859675 |    3859675 |    3859675 |    3859675 |    3859675
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    1451006 |    1451006 |    1451006 |    1451006 |    1451006 |    1451006 |    1451006 |    1451006 |    1451006 |    1451006 |    1451006 |    1451006 |    1451006 |    1451006 |    1451006 |    1451006
  Idle time (ns)                     |    1312003 |    1307484 |    1319793 |    1312907 |    1326269 |    1313121 |    1308529 |    1308373 |    1313843 |    1320925 |    1330421 |    1314957 |    1307962 |    1325502 |    1314371 |    1311983
  Idle time (%)                      |      90.4% |      90.1% |      91.0% |      90.5% |      91.4% |      90.5% |      90.2% |      90.2% |      90.5% |      91.0% |      91.7% |      90.6% |      90.1% |      91.4% |      90.6% |      90.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10936 |      10858 |      10877 |      10928 |      10963 |      10892 |      10885 |      10847 |      10879 |      10948 |      10908 |      10849 |      10906 |      10976 |      10883 |      10873
  num incorrect                      |        968 |       1020 |        972 |        972 |        904 |        928 |       1015 |        985 |        921 |        850 |        831 |        899 |       1002 |        902 |        977 |        953
  misprediction rate                 |      8.13% |      8.59% |      8.20% |      8.17% |      7.62% |      7.85% |      8.53% |      8.32% |      7.81% |      7.20% |      7.08% |      7.65% |      8.41% |      7.59% |      8.24% |      8.06%
  mpki                               |       9.03 |       9.52 |       9.13 |       9.09 |       8.51 |       8.74 |       9.50 |       9.24 |       8.71 |       8.07 |       7.93 |       8.55 |       9.31 |       8.49 |       9.17 |       8.94
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18698 |      18724 |      18623 |      18693 |      18562 |      18597 |      18652 |      18659 |      18535 |      18468 |      18423 |      18494 |      18773 |      18558 |      18621 |      18664
    num cache misses                 |         22 |         25 |         24 |         25 |         25 |         24 |         25 |         25 |         24 |         24 |         25 |         24 |         25 |         25 |         25 |         24
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.14% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
