                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     691526 |     689992 |     632070 |     626835 |     624706 |     590496 |     675679 |     679997 |     691486 |     611827 |     702002 |     626957 |     669863 |     684102 |     484765 |     695560
  Cycles                             |    1736806 |    1736806 |    1736806 |    1736806 |    1736806 |    1736806 |    1736806 |    1736806 |    1736806 |    1736806 |    1736806 |    1736806 |    1736806 |    1736806 |    1736806 |    1736806
  IPC                                |       0.40 |       0.40 |       0.36 |       0.36 |       0.36 |       0.34 |       0.39 |       0.39 |       0.40 |       0.35 |       0.40 |       0.36 |       0.39 |       0.39 |       0.28 |       0.40
  Time (ns)                          |     652935 |     652935 |     652935 |     652935 |     652935 |     652935 |     652935 |     652935 |     652935 |     652935 |     652935 |     652935 |     652935 |     652935 |     652935 |     652935
  Idle time (ns)                     |      34529 |      26274 |      85920 |      96760 |      82373 |     131661 |       4513 |       7275 |      53234 |     133904 |      23215 |     110838 |      61071 |      21193 |     219890 |       5425
  Idle time (%)                      |       5.3% |       4.0% |      13.2% |      14.8% |      12.6% |      20.2% |       0.7% |       1.1% |       8.2% |      20.5% |       3.6% |      17.0% |       9.4% |       3.2% |      33.7% |       0.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     159944 |     159675 |     145097 |     143875 |     143264 |     134798 |     156164 |     157142 |     159904 |     140161 |     162609 |     143826 |     154507 |     158135 |     108387 |     160899
  num incorrect                      |        437 |        327 |        423 |        337 |        415 |        337 |        258 |        358 |        473 |        287 |        391 |        424 |        472 |        392 |        315 |        499
  misprediction rate                 |      0.27% |      0.20% |      0.29% |      0.23% |      0.29% |      0.25% |      0.16% |      0.23% |      0.29% |      0.20% |      0.24% |      0.29% |      0.30% |      0.25% |      0.29% |      0.31%
  mpki                               |       0.63 |       0.47 |       0.67 |       0.54 |       0.66 |       0.57 |       0.38 |       0.53 |       0.68 |       0.47 |       0.56 |       0.68 |       0.70 |       0.57 |       0.65 |       0.72
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     323730 |     322992 |     294007 |     291410 |     290335 |     273248 |     315824 |     317967 |     323710 |     283867 |     328959 |     291473 |     312941 |     320021 |     220392 |     325762
    num cache misses                 |         15 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         15 |         17 |         16 |         15 |         15 |         16 |         15 |         15
    miss rate                        |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00% |      0.01% |      0.00% |      0.01% |      0.00% |      0.00% |      0.01% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     355791 |     355030 |     326078 |     323451 |     322393 |     305292 |     347874 |     350041 |     355787 |     315943 |     361043 |     323521 |     344974 |     352093 |     252424 |     357824
    num cache misses                 |      14868 |      14786 |      13172 |      12749 |      13060 |      11884 |      14842 |      14643 |      13941 |      11803 |      14469 |      12321 |      13297 |      14262 |       9647 |      14649
    miss rate                        |      4.18% |      4.16% |      4.04% |      3.94% |      4.05% |      3.89% |      4.27% |      4.18% |      3.92% |      3.74% |      4.01% |      3.81% |      3.85% |      4.05% |      3.82% |      4.09%
    mpki                             |      21.50 |      21.43 |      20.84 |      20.34 |      20.91 |      20.13 |      21.97 |      21.53 |      20.16 |      19.29 |      20.61 |      19.65 |      19.85 |      20.85 |      19.90 |      21.06
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15996 |      15797 |      14180 |      13787 |      14085 |      12932 |      15750 |      15605 |      15047 |      12816 |      15465 |      13324 |      14276 |      15282 |      10689 |      15646
    num cache misses                 |      14885 |      14804 |      13192 |      12767 |      13079 |      11904 |      14863 |      14665 |      13960 |      11823 |      14486 |      12341 |      13320 |      14281 |       9667 |      14670
    miss rate                        |     93.05% |     93.71% |     93.03% |     92.60% |     92.86% |     92.05% |     94.37% |     93.98% |     92.78% |     92.25% |     93.67% |     92.62% |     93.30% |     93.45% |     90.44% |     93.76%
    mpki                             |      21.52 |      21.46 |      20.87 |      20.37 |      20.94 |      20.16 |      22.00 |      21.57 |      20.19 |      19.32 |      20.64 |      19.68 |      19.88 |      20.88 |      19.94 |      21.09
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15996 |      15797 |      14180 |      13787 |      14085 |      12932 |      15750 |      15605 |      15047 |      12816 |      15465 |      13324 |      14276 |      15282 |      10689 |      15646
    num cache misses                 |       9799 |       9758 |       8524 |       8164 |       8343 |       7685 |       9737 |       9758 |       9288 |       7775 |       9661 |       7935 |       8697 |       9525 |       6247 |      10013
    miss rate                        |     61.26% |     61.77% |     60.11% |     59.22% |     59.23% |     59.43% |     61.82% |     62.53% |     61.73% |     60.67% |     62.47% |     59.55% |     60.92% |     62.33% |     58.44% |     64.00%
    mpki                             |      14.17 |      14.14 |      13.49 |      13.02 |      13.36 |      13.01 |      14.41 |      14.35 |      13.43 |      12.71 |      13.76 |      12.66 |      12.98 |      13.92 |      12.89 |      14.40
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     165.64 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     112.21 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
