                                     | Core 0     | Core 1    
  Instructions                       |     383467 |     483535
  Cycles                             |     660814 |     660814
  IPC                                |       0.58 |       0.73
  Time (ns)                          |     248426 |     248426
  Idle time (ns)                     |     117182 |      98570
  Idle time (%)                      |      47.2% |      39.7%
Branch predictor stats               |            |           
  num correct                        |      62609 |      87622
  num incorrect                      |        260 |        254
  misprediction rate                 |      0.41% |      0.29%
  mpki                               |       0.68 |       0.53
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     128725 |     178735
    num cache misses                 |         16 |         17
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.04 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     223764 |     273791
    num cache misses                 |       1894 |       1970
    miss rate                        |      0.85% |      0.72%
    mpki                             |       4.94 |       4.07
  Cache L2                           |            |           
    num cache accesses               |       2653 |       2656
    num cache misses                 |         22 |         11
    miss rate                        |      0.83% |      0.41%
    mpki                             |       0.06 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         24 |         14
    num cache misses                 |         22 |         11
    miss rate                        |     91.67% |     78.57%
    mpki                             |       0.06 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     105.40 |        inf
  average dram queueing delay        |      51.97 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
