                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     325014 |     532878 |     418104 |     490510 |     399411 |     456771 |     490383 |     492865 |     483134 |     500802 |     478303 |     499079 |     428432 |     507764 |     494574 |     503705
  Cycles                             |    1273509 |    1273509 |    1273509 |    1273509 |    1273509 |    1273509 |    1273509 |    1273509 |    1273509 |    1273509 |    1273509 |    1273509 |    1273509 |    1273509 |    1273509 |    1273509
  IPC                                |       0.26 |       0.42 |       0.33 |       0.39 |       0.31 |       0.36 |       0.39 |       0.39 |       0.38 |       0.39 |       0.38 |       0.39 |       0.34 |       0.40 |       0.39 |       0.40
  Time (ns)                          |     478763 |     478763 |     478763 |     478763 |     478763 |     478763 |     478763 |     478763 |     478763 |     478763 |     478763 |     478763 |     478763 |     478763 |     478763 |     478763
  Idle time (ns)                     |     226555 |       4562 |     129133 |      29289 |     129299 |      65316 |      18984 |      15308 |      79886 |      55925 |      78411 |      44145 |     101982 |       7757 |      21436 |      25163
  Idle time (%)                      |      47.3% |       1.0% |      27.0% |       6.1% |      27.0% |      13.6% |       4.0% |       3.2% |      16.7% |      11.7% |      16.4% |       9.2% |      21.3% |       1.6% |       4.5% |       5.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      68171 |     120050 |      91371 |     109418 |      86702 |     101042 |     109375 |     110118 |     107623 |     112123 |     106399 |     111675 |      93983 |     113876 |     110594 |     112868
  num incorrect                      |        324 |        410 |        396 |        450 |        396 |        389 |        452 |        334 |        405 |        318 |        415 |        335 |        376 |        304 |        290 |        300
  misprediction rate                 |      0.47% |      0.34% |      0.43% |      0.41% |      0.45% |      0.38% |      0.41% |      0.30% |      0.37% |      0.28% |      0.39% |      0.30% |      0.40% |      0.27% |      0.26% |      0.27%
  mpki                               |       1.00 |       0.77 |       0.95 |       0.92 |       0.99 |       0.85 |       0.92 |       0.68 |       0.84 |       0.63 |       0.87 |       0.67 |       0.88 |       0.60 |       0.59 |       0.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     139949 |     243854 |     186490 |     222690 |     177139 |     205785 |     222584 |     223846 |     218993 |     227836 |     216576 |     226974 |     191673 |     231308 |     224722 |     229294
    num cache misses                 |         16 |         14 |         16 |         16 |         15 |         15 |         16 |         16 |         15 |         16 |         16 |         16 |         15 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.05 |       0.03 |       0.04 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     172030 |     275965 |     218576 |     254779 |     209233 |     237909 |     254709 |     255953 |     251093 |     259925 |     248674 |     259063 |     223747 |     263406 |     256811 |     261377
    num cache misses                 |       6537 |      11828 |       9067 |      11299 |       8601 |      10020 |      11457 |      11169 |      10201 |      10693 |       9648 |      10377 |       9213 |      11169 |      10968 |      10636
    miss rate                        |      3.80% |      4.29% |      4.15% |      4.43% |      4.11% |      4.21% |      4.50% |      4.36% |      4.06% |      4.11% |      3.88% |      4.01% |      4.12% |      4.24% |      4.27% |      4.07%
    mpki                             |      20.11 |      22.20 |      21.69 |      23.04 |      21.53 |      21.94 |      23.36 |      22.66 |      21.11 |      21.35 |      20.17 |      20.79 |      21.50 |      22.00 |      22.18 |      21.12
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       7709 |      12444 |       9974 |      12235 |       9591 |      10948 |      12331 |      12073 |      11292 |      11617 |      10627 |      11340 |      10158 |      11992 |      11920 |      11635
    num cache misses                 |       6556 |      11842 |       9089 |      11324 |       8627 |      10042 |      11485 |      11190 |      10218 |      10712 |       9668 |      10402 |       9233 |      11191 |      10993 |      10659
    miss rate                        |     85.04% |     95.16% |     91.13% |     92.55% |     89.95% |     91.72% |     93.14% |     92.69% |     90.49% |     92.21% |     90.98% |     91.73% |     90.89% |     93.32% |     92.22% |     91.61%
    mpki                             |      20.17 |      22.22 |      21.74 |      23.09 |      21.60 |      21.98 |      23.42 |      22.70 |      21.15 |      21.39 |      20.21 |      20.84 |      21.55 |      22.04 |      22.23 |      21.16
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       7709 |      12444 |       9974 |      12235 |       9591 |      10948 |      12331 |      12073 |      11292 |      11617 |      10627 |      11340 |      10158 |      11992 |      11920 |      11635
    num cache misses                 |       4346 |       8334 |       6170 |       7767 |       5850 |       6869 |       7925 |       7841 |       6822 |       7201 |       6353 |       6963 |       6150 |       7715 |       7391 |       7347
    miss rate                        |     56.38% |     66.97% |     61.86% |     63.48% |     60.99% |     62.74% |     64.27% |     64.95% |     60.41% |     61.99% |     59.78% |     61.40% |     60.54% |     64.33% |     62.01% |     63.15%
    mpki                             |      13.37 |      15.64 |      14.76 |      15.83 |      14.65 |      15.04 |      16.16 |      15.91 |      14.12 |      14.38 |      13.28 |      13.95 |      14.35 |      15.19 |      14.94 |      14.59
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         87 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     223.51 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     170.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          5 |          4 |          3 |          3 |          4 |          5 |          3 |          3 |          3 |          4 |          4 |          3 |          3 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2697 |       5242 |       3742 |       4783 |       3590 |       4148 |       4822 |       4717 |       4080 |       4197 |       3632 |       4020 |       3524 |       4625 |       4296 |       4308
