                                     | Core 0     | Core 1    
  Instructions                       |    7718626 |    9451115
  Cycles                             |    6998094 |    6998094
  IPC                                |       1.10 |       1.35
  Time (ns)                          |    2630863 |    2630863
  Idle time (ns)                     |     359795 |      99189
  Idle time (%)                      |      13.7% |       3.8%
Branch predictor stats               |            |           
  num correct                        |    1375835 |    1722331
  num incorrect                      |        296 |        299
  misprediction rate                 |      0.02% |      0.02%
  mpki                               |       0.04 |       0.03
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    2758252 |    3451252
    num cache misses                 |         16 |         17
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    4753403 |    5792902
    num cache misses                 |       3458 |       3587
    miss rate                        |      0.07% |      0.06%
    mpki                             |       0.45 |       0.38
  Cache L2                           |            |           
    num cache accesses               |       3605 |       3607
    num cache misses                 |         24 |          8
    miss rate                        |      0.67% |      0.22%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         26 |         11
    num cache misses                 |         24 |          8
    miss rate                        |     92.31% |     72.73%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     100.39 |        inf
  average dram queueing delay        |      46.96 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
