                                     | Core 0     | Core 1    
  Instructions                       |     380383 |     374009
  Cycles                             |     733149 |     733149
  IPC                                |       0.52 |       0.51
  Time (ns)                          |     275620 |     275620
  Idle time (ns)                     |      99217 |     101123
  Idle time (%)                      |      36.0% |      36.7%
Branch predictor stats               |            |           
  num correct                        |      45511 |      44439
  num incorrect                      |        226 |        241
  misprediction rate                 |      0.49% |      0.54%
  mpki                               |       0.59 |       0.64
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      97462 |      95353
    num cache misses                 |         14 |         17
    miss rate                        |      0.01% |      0.02%
    mpki                             |       0.04 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |     222222 |     219045
    num cache misses                 |       4314 |       4193
    miss rate                        |      1.94% |      1.91%
    mpki                             |      11.34 |      11.21
  Cache L2                           |            |           
    num cache accesses               |       4350 |       4352
    num cache misses                 |         22 |          9
    miss rate                        |      0.51% |      0.21%
    mpki                             |       0.06 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         24 |         12
    num cache misses                 |         22 |          9
    miss rate                        |     91.67% |     75.00%
    mpki                             |       0.06 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     100.42 |        inf
  average dram queueing delay        |      46.99 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
