                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3973395 |    4016751 |    3638856 |    4445823 |    4028727 |    4080466 |    4618245 |    4038769 |    4502667 |    4252437 |    4772738 |    4124721 |    4390074 |    4447720 |    4959739 |    2793423
  Cycles                             |   63410887 |   63410887 |   63410887 |   63410887 |   63410887 |   63410887 |   63410887 |   63410887 |   63410887 |   63410887 |   63410887 |   63410887 |   63410887 |   63410887 |   63410887 |   63410887
  IPC                                |       0.06 |       0.06 |       0.06 |       0.07 |       0.06 |       0.06 |       0.07 |       0.06 |       0.07 |       0.07 |       0.08 |       0.07 |       0.07 |       0.07 |       0.08 |       0.04
  Time (ns)                          |   23838680 |   23838680 |   23838680 |   23838680 |   23838680 |   23838680 |   23838680 |   23838680 |   23838680 |   23838680 |   23838680 |   23838680 |   23838680 |   23838680 |   23838680 |   23838680
  Idle time (ns)                     |    4670130 |    3334724 |    5877188 |     825305 |    3193088 |    2763157 |     460157 |    2974973 |    1414381 |    2031532 |     169879 |    2664221 |     994554 |     520881 |       4516 |   11906332
  Idle time (%)                      |      19.6% |      14.0% |      24.7% |       3.5% |      13.4% |      11.6% |       1.9% |      12.5% |       5.9% |       8.5% |       0.7% |      11.2% |       4.2% |       2.2% |       0.0% |      49.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     539398 |     546657 |     483683 |     618106 |     548663 |     557259 |     646863 |     550305 |     627606 |     585906 |     672598 |     564628 |     608832 |     618446 |     703790 |     342796
  num incorrect                      |        175 |        143 |        140 |        206 |        133 |        165 |        186 |        170 |        180 |        175 |        205 |        167 |        194 |        187 |        174 |        116
  misprediction rate                 |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.05 |       0.03 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1085136 |    1099594 |     973641 |    1242618 |    1103586 |    1120846 |    1300092 |    1106946 |    1261566 |    1178156 |    1351602 |    1135584 |    1224047 |    1243264 |    1413920 |     691818
    num cache misses                 |         16 |         17 |         16 |         17 |         17 |         16 |         17 |         16 |         17 |         17 |         16 |         17 |         16 |         16 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2243729 |    2265409 |    2076470 |    2479945 |    2271397 |    2297277 |    2566156 |    2276428 |    2508367 |    2383252 |    2643412 |    2319394 |    2452079 |    2480904 |    2736902 |    1653745
    num cache misses                 |     536191 |     483648 |     416619 |     549165 |     488101 |     497769 |     568140 |     495390 |     633589 |     516099 |     561276 |     492983 |     541358 |     552078 |     558346 |     262900
    miss rate                        |     23.90% |     21.35% |     20.06% |     22.14% |     21.49% |     21.67% |     22.14% |     21.76% |     25.26% |     21.66% |     21.23% |     21.25% |     22.08% |     22.25% |     20.40% |     15.90%
    mpki                             |     134.95 |     120.41 |     114.49 |     123.52 |     121.16 |     121.99 |     123.02 |     122.66 |     140.71 |     121.37 |     117.60 |     119.52 |     123.31 |     124.13 |     112.58 |      94.11
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     536243 |     483690 |     416664 |     549225 |     488146 |     497820 |     568193 |     495447 |     633643 |     516152 |     561338 |     493033 |     541412 |     552127 |     558386 |     262941
    num cache misses                 |     536207 |     483665 |     416635 |     549182 |     488118 |     497785 |     568157 |     495406 |     633606 |     516116 |     561292 |     493000 |     541374 |     552094 |     558363 |     262917
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |    100.00% |     99.99%
    mpki                             |     134.95 |     120.41 |     114.50 |     123.53 |     121.16 |     121.99 |     123.02 |     122.66 |     140.72 |     121.37 |     117.60 |     119.52 |     123.32 |     124.13 |     112.58 |      94.12
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     536243 |     483690 |     416664 |     549225 |     488146 |     497820 |     568193 |     495447 |     633643 |     516152 |     561338 |     493033 |     541412 |     552127 |     558386 |     262941
