                                     | Core 0     | Core 1    
  Instructions                       |      88483 |      78736
  Cycles                             |     330767 |     330767
  IPC                                |       0.27 |       0.24
  Time (ns)                          |     124349 |     124349
  Idle time (ns)                     |     100569 |     104862
  Idle time (%)                      |      80.9% |      84.3%
Branch predictor stats               |            |           
  num correct                        |       7507 |       5887
  num incorrect                      |         80 |         80
  misprediction rate                 |      1.05% |      1.34%
  mpki                               |       0.90 |       1.02
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      21162 |      17928
    num cache misses                 |         14 |         16
    miss rate                        |      0.07% |      0.09%
    mpki                             |       0.16 |       0.20
  Cache L1-D                         |            |           
    num cache accesses               |      53772 |      48909
    num cache misses                 |       1316 |       1430
    miss rate                        |      2.45% |      2.92%
    mpki                             |      14.87 |      18.16
  Cache L2                           |            |           
    num cache accesses               |       1462 |       1464
    num cache misses                 |         23 |          8
    miss rate                        |      1.57% |      0.55%
    mpki                             |       0.26 |       0.10
  Cache L3                           |            |           
    num cache accesses               |         25 |         11
    num cache misses                 |         23 |          8
    miss rate                        |     92.00% |     72.73%
    mpki                             |       0.26 |       0.10
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |     101.76 |        inf
  average dram queueing delay        |      48.33 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
