                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     224145 |     225591 |     223282 |     225930
  Cycles                             |    2399182 |    2399182 |    2399182 |    2399182
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |     901948 |     901948 |     901948 |     901948
  Idle time (ns)                     |     756830 |     752727 |     758863 |     754326
  Idle time (%)                      |      83.9% |      83.5% |      84.1% |      83.6%
Branch predictor stats               |            |            |            |           
  num correct                        |      19678 |      19667 |      19642 |      19782
  num incorrect                      |       1155 |       1260 |       1106 |       1191
  misprediction rate                 |      5.54% |      6.02% |      5.33% |      5.68%
  mpki                               |       5.15 |       5.59 |       4.95 |       5.27
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      18770 |      18966 |      18671 |      18998
    num cache misses                 |         24 |         25 |         25 |         25
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     137158 |     137797 |     136828 |     137931
    num cache misses                 |       2642 |       2828 |       2505 |       2706
    miss rate                        |      1.93% |      2.05% |      1.83% |      1.96%
    mpki                             |      11.79 |      12.54 |      11.22 |      11.98
  Cache L2                           |            |            |            |           
    num cache accesses               |       3449 |       3702 |       3274 |       3610
    num cache misses                 |         22 |          6 |          9 |         25
    miss rate                        |      0.64% |      0.16% |      0.27% |      0.69%
    mpki                             |       0.10 |       0.03 |       0.04 |       0.11
  Cache L3                           |            |            |            |           
    num cache accesses               |         23 |          9 |         12 |         29
    num cache misses                 |         22 |          6 |          9 |         25
    miss rate                        |     95.65% |     66.67% |     75.00% |     86.21%
    mpki                             |       0.10 |       0.03 |       0.04 |       0.11
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     112.75 |        inf |        inf |        inf
  average dram queueing delay        |      59.32 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          4 |          4 |          9
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
