                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     104107 |     118547 |     116464 |     108503 |     111838 |     118625 |     135288 |     133970
  Cycles                             |     855918 |     855918 |     855918 |     855918 |     855918 |     855918 |     855918 |     855918
  IPC                                |       0.12 |       0.14 |       0.14 |       0.13 |       0.13 |       0.14 |       0.16 |       0.16
  Time (ns)                          |     321774 |     321774 |     321774 |     321774 |     321774 |     321774 |     321774 |     321774
  Idle time (ns)                     |     129307 |     101062 |     114883 |     157631 |     133467 |     116621 |     102422 |     110019
  Idle time (%)                      |      40.2% |      31.4% |      35.7% |      49.0% |      41.5% |      36.2% |      31.8% |      34.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      11534 |      14366 |      13966 |      12388 |      13017 |      14396 |      17715 |      17494
  num incorrect                      |         93 |        154 |        132 |        123 |        163 |        141 |        155 |        112
  misprediction rate                 |      0.80% |      1.06% |      0.94% |      0.98% |      1.24% |      0.97% |      0.87% |      0.64%
  mpki                               |       0.89 |       1.30 |       1.13 |       1.13 |       1.46 |       1.19 |       1.15 |       0.84
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      29244 |      35029 |      34185 |      31013 |      32349 |      35063 |      41729 |      41201
    num cache misses                 |         16 |         16 |         17 |         17 |         17 |         16 |         17 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.04% |      0.04%
    mpki                             |       0.15 |       0.13 |       0.15 |       0.16 |       0.15 |       0.13 |       0.13 |       0.12
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      65891 |      74563 |      73293 |      68539 |      70539 |      74611 |      84609 |      83818
    num cache misses                 |       9999 |      10133 |      10268 |       8715 |       9323 |      10312 |      11833 |      11638
    miss rate                        |     15.18% |     13.59% |     14.01% |     12.72% |     13.22% |     13.82% |     13.99% |     13.88%
    mpki                             |      96.05 |      85.48 |      88.16 |      80.32 |      83.36 |      86.93 |      87.47 |      86.87
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10035 |      10225 |      10311 |       8780 |       9391 |      10363 |      11896 |      11685
    num cache misses                 |       6248 |       6384 |       5975 |       4693 |       5474 |       5864 |       6215 |       5763
    miss rate                        |     62.26% |     62.44% |     57.95% |     53.45% |     58.29% |     56.59% |     52.24% |     49.32%
    mpki                             |      60.02 |      53.85 |      51.30 |      43.25 |      48.95 |      49.43 |      45.94 |      43.02
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6257 |       6433 |       5997 |       4723 |       5496 |       5886 |       6250 |       5777
    num cache misses                 |         23 |          5 |          4 |          8 |          4 |          4 |          5 |          5
    miss rate                        |      0.37% |      0.08% |      0.07% |      0.17% |      0.07% |      0.07% |      0.08% |      0.09%
    mpki                             |       0.22 |       0.04 |       0.03 |       0.07 |       0.04 |       0.03 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     187.51 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     134.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          3 |          4 |          5 |          4 |          3 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
