                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     505491 |     767929 |     844117 |     832331 |     678808 |     746036 |     658737 |     786671
  Cycles                             |     948802 |     948802 |     948802 |     948802 |     948802 |     948802 |     948802 |     948802
  IPC                                |       0.53 |       0.81 |       0.89 |       0.88 |       0.72 |       0.79 |       0.69 |       0.83
  Time (ns)                          |     356693 |     356693 |     356693 |     356693 |     356693 |     356693 |     356693 |     356693
  Idle time (ns)                     |     101927 |     101034 |     109285 |     116481 |     118707 |     109863 |     151462 |     132787
  Idle time (%)                      |      28.6% |      28.3% |      30.6% |      32.7% |      33.3% |      30.8% |      42.5% |      37.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     113366 |     178951 |     198006 |     195024 |     156708 |     173505 |     151550 |     183614
  num incorrect                      |        502 |        527 |        531 |        562 |        500 |        508 |        633 |        561
  misprediction rate                 |      0.44% |      0.29% |      0.27% |      0.29% |      0.32% |      0.29% |      0.42% |      0.30%
  mpki                               |       0.99 |       0.69 |       0.63 |       0.68 |       0.74 |       0.68 |       0.96 |       0.71
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     230692 |     361883 |     400035 |     394115 |     317368 |     350984 |     307300 |     371311
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     262777 |     393999 |     432096 |     426203 |     349443 |     383055 |     339405 |     403370
    num cache misses                 |       9753 |      10494 |      10188 |       9481 |       8380 |       8802 |       7201 |       7852
    miss rate                        |      3.71% |      2.66% |      2.36% |      2.22% |      2.40% |      2.30% |      2.12% |      1.95%
    mpki                             |      19.29 |      13.67 |      12.07 |      11.39 |      12.35 |      11.80 |      10.93 |       9.98
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11016 |      11240 |      11015 |      10382 |       9356 |       9784 |       8114 |       8691
    num cache misses                 |       3614 |       1933 |       1195 |       1014 |       2161 |       2056 |       1320 |       1221
    miss rate                        |     32.81% |     17.20% |     10.85% |      9.77% |     23.10% |     21.01% |     16.27% |     14.05%
    mpki                             |       7.15 |       2.52 |       1.42 |       1.22 |       3.18 |       2.76 |       2.00 |       1.55
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4471 |       2401 |       1710 |       1597 |       3023 |       2988 |       2117 |       2049
    num cache misses                 |         22 |          6 |          4 |          5 |          4 |          4 |          7 |          4
    miss rate                        |      0.49% |      0.25% |      0.23% |      0.31% |      0.13% |      0.13% |      0.33% |      0.20%
    mpki                             |       0.04 |       0.01 |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     179.08 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     125.66 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          3 |          3 |          4 |          3 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
