                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     158739 |     111905 |     115863 |     135399 |      95724 |     146273 |     134651 |     108919 |     142679 |     143691 |     142881 |     140269 |     120906 |     122127 |     141825 |     146768
  Cycles                             |    1729743 |    1729743 |    1729743 |    1729743 |    1729743 |    1729743 |    1729743 |    1729743 |    1729743 |    1729743 |    1729743 |    1729743 |    1729743 |    1729743 |    1729743 |    1729743
  IPC                                |       0.09 |       0.06 |       0.07 |       0.08 |       0.06 |       0.08 |       0.08 |       0.06 |       0.08 |       0.08 |       0.08 |       0.08 |       0.07 |       0.07 |       0.08 |       0.08
  Time (ns)                          |     650280 |     650280 |     650280 |     650280 |     650280 |     650280 |     650280 |     650280 |     650280 |     650280 |     650280 |     650280 |     650280 |     650280 |     650280 |     650280
  Idle time (ns)                     |       4627 |     242009 |     212306 |      82640 |     366025 |      18325 |      84420 |     260319 |      43301 |      29146 |      27991 |      42986 |     168873 |     163354 |      26843 |       5778
  Idle time (%)                      |       0.7% |      37.2% |      32.6% |      12.7% |      56.3% |       2.8% |      13.0% |      40.0% |       6.7% |       4.5% |       4.3% |       6.6% |      26.0% |      25.1% |       4.1% |       0.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19097 |      11327 |      12009 |      15243 |       8708 |      17012 |      15090 |      10874 |      16428 |      16649 |      16485 |      16086 |      12914 |      13011 |      16334 |      17146
  num incorrect                      |        199 |        170 |        148 |        170 |         91 |        213 |        198 |        125 |        198 |        146 |        175 |        138 |         83 |        190 |        150 |        162
  misprediction rate                 |      1.03% |      1.48% |      1.22% |      1.10% |      1.03% |      1.24% |      1.30% |      1.14% |      1.19% |      0.87% |      1.05% |      0.85% |      0.64% |      1.44% |      0.91% |      0.94%
  mpki                               |       1.25 |       1.52 |       1.28 |       1.26 |       0.95 |       1.46 |       1.47 |       1.15 |       1.39 |       1.02 |       1.22 |       0.98 |       0.69 |       1.56 |       1.06 |       1.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
