                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     238623 |     238337 |     237967 |     237790 |     238282 |     238645 |     239692 |     237797 |     238560 |     237935 |     238329 |     238863 |     238516 |     238310 |     238125 |     238634
  Cycles                             |    9188941 |    9188941 |    9188941 |    9188941 |    9188941 |    9188941 |    9188941 |    9188941 |    9188941 |    9188941 |    9188941 |    9188941 |    9188941 |    9188941 |    9188941 |    9188941
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    3454489 |    3454489 |    3454489 |    3454489 |    3454489 |    3454489 |    3454489 |    3454489 |    3454489 |    3454489 |    3454489 |    3454489 |    3454489 |    3454489 |    3454489 |    3454489
  Idle time (ns)                     |    3206775 |    3206469 |    3209058 |    3208556 |    3204475 |    3202539 |    3204586 |    3203536 |    3205736 |    3205431 |    3203358 |    3204833 |    3204209 |    3205487 |    3204913 |    3206571
  Idle time (%)                      |      92.8% |      92.8% |      92.9% |      92.9% |      92.8% |      92.7% |      92.8% |      92.7% |      92.8% |      92.8% |      92.7% |      92.8% |      92.8% |      92.8% |      92.8% |      92.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      20570 |      20535 |      20434 |      20445 |      20454 |      20552 |      20589 |      20417 |      20496 |      20455 |      20498 |      20509 |      20512 |      20478 |      20475 |      20557
  num incorrect                      |       1294 |       1282 |       1334 |       1337 |       1344 |       1286 |       1357 |       1365 |       1308 |       1374 |       1332 |       1332 |       1342 |       1326 |       1347 |       1330
  misprediction rate                 |      5.92% |      5.88% |      6.13% |      6.14% |      6.17% |      5.89% |      6.18% |      6.27% |      6.00% |      6.29% |      6.10% |      6.10% |      6.14% |      6.08% |      6.17% |      6.08%
  mpki                               |       5.42 |       5.38 |       5.61 |       5.62 |       5.64 |       5.39 |       5.66 |       5.74 |       5.48 |       5.77 |       5.59 |       5.58 |       5.63 |       5.56 |       5.66 |       5.57
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20304 |      20288 |      20256 |      20205 |      20328 |      20342 |      20443 |      20201 |      20349 |      20199 |      20292 |      20376 |      20307 |      20346 |      20251 |      20301
    num cache misses                 |         24 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.10 |       0.10 |       0.11 |       0.11 |       0.10 |       0.10 |       0.10 |       0.11 |       0.10 |       0.11 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     142873 |     142798 |     142681 |     142575 |     142810 |     142939 |     143328 |     142585 |     142928 |     142583 |     142775 |     143038 |     142842 |     142820 |     142686 |     142848
    num cache misses                 |       7386 |       7467 |       7432 |       7370 |       7395 |       7506 |       7626 |       7291 |       7464 |       7417 |       7320 |       7563 |       7493 |       7283 |       7331 |       7380
