                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     238145 |     236963 |     237849 |     237648 |     236800 |     237291 |     236788 |     237415 |     235189 |     236384 |     236941 |     235678 |     237502 |     237170 |     236913 |     235475
  Cycles                             |    9707685 |    9707685 |    9707685 |    9707685 |    9707685 |    9707685 |    9707685 |    9707685 |    9707685 |    9707685 |    9707685 |    9707685 |    9707685 |    9707685 |    9707685 |    9707685
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    3649506 |    3649506 |    3649506 |    3649506 |    3649506 |    3649506 |    3649506 |    3649506 |    3649506 |    3649506 |    3649506 |    3649506 |    3649506 |    3649506 |    3649506 |    3649506
  Idle time (ns)                     |    3411725 |    3415949 |    3413629 |    3414500 |    3415297 |    3411751 |    3418012 |    3416999 |    3421914 |    3422947 |    3415887 |    3420040 |    3412807 |    3419652 |    3414342 |    3422728
  Idle time (%)                      |      93.5% |      93.6% |      93.5% |      93.6% |      93.6% |      93.5% |      93.7% |      93.6% |      93.8% |      93.8% |      93.6% |      93.7% |      93.5% |      93.7% |      93.6% |      93.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      20432 |      20415 |      20427 |      20464 |      20377 |      20409 |      20442 |      20419 |      20235 |      20532 |      20428 |      20305 |      20434 |      20434 |      20389 |      20351
  num incorrect                      |       1389 |       1336 |       1361 |       1335 |       1340 |       1361 |       1262 |       1355 |       1344 |       1239 |       1259 |       1294 |       1335 |       1305 |       1357 |       1271
  misprediction rate                 |      6.37% |      6.14% |      6.25% |      6.12% |      6.17% |      6.25% |      5.81% |      6.22% |      6.23% |      5.69% |      5.81% |      5.99% |      6.13% |      6.00% |      6.24% |      5.88%
  mpki                               |       5.83 |       5.64 |       5.72 |       5.62 |       5.66 |       5.74 |       5.33 |       5.71 |       5.71 |       5.24 |       5.31 |       5.49 |       5.62 |       5.50 |       5.73 |       5.40
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20301 |      20128 |      20255 |      20250 |      20143 |      20188 |      20126 |      20206 |      19981 |      20024 |      20196 |      20057 |      20219 |      20193 |      20133 |      20003
    num cache misses                 |         24 |         24 |         24 |         24 |         25 |         24 |         24 |         25 |         24 |         23 |         25 |         24 |         24 |         25 |         25 |         25
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.11% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10 |       0.11 |       0.10 |       0.10 |       0.11 |       0.10 |       0.10 |       0.11 |       0.10 |       0.10 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     142718 |     142209 |     142604 |     142485 |     142174 |     142340 |     142172 |     142411 |     141552 |     141881 |     142280 |     141753 |     142440 |     142328 |     142184 |     141637
    num cache misses                 |       6976 |       6719 |       6889 |       6818 |       6775 |       6914 |       6821 |       6677 |       6382 |       6414 |       6750 |       6613 |       6804 |       6612 |       6791 |       6504
    miss rate                        |      4.89% |      4.72% |      4.83% |      4.79% |      4.77% |      4.86% |      4.80% |      4.69% |      4.51% |      4.52% |      4.74% |      4.67% |      4.78% |      4.65% |      4.78% |      4.59%
    mpki                             |      29.29 |      28.35 |      28.96 |      28.69 |      28.61 |      29.14 |      28.81 |      28.12 |      27.14 |      27.13 |      28.49 |      28.06 |      28.65 |      27.88 |      28.66 |      27.62
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8856 |       8511 |       8706 |       8632 |       8613 |       8753 |       8670 |       8450 |       8207 |       8166 |       8638 |       8437 |       8683 |       8429 |       8652 |       8300
    num cache misses                 |       7014 |       6772 |       6951 |       6888 |       6852 |       6989 |       6907 |       6770 |       6425 |       6492 |       6827 |       6692 |       6881 |       6698 |       6886 |       6601
    miss rate                        |     79.20% |     79.57% |     79.84% |     79.80% |     79.55% |     79.85% |     79.67% |     80.12% |     78.29% |     79.50% |     79.03% |     79.32% |     79.25% |     79.46% |     79.59% |     79.53%
    mpki                             |      29.45 |      28.58 |      29.22 |      28.98 |      28.94 |      29.45 |      29.17 |      28.52 |      27.32 |      27.46 |      28.81 |      28.39 |      28.97 |      28.24 |      29.07 |      28.03
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8856 |       8511 |       8706 |       8632 |       8613 |       8753 |       8670 |       8450 |       8207 |       8166 |       8638 |       8437 |       8683 |       8429 |       8652 |       8300
    num cache misses                 |       4068 |       3934 |       3984 |       4001 |       4129 |       4133 |       4076 |       4035 |       3624 |       3900 |       4051 |       3958 |       4062 |       3845 |       4099 |       3846
    miss rate                        |     45.93% |     46.22% |     45.76% |     46.35% |     47.94% |     47.22% |     47.01% |     47.75% |     44.16% |     47.76% |     46.90% |     46.91% |     46.78% |     45.62% |     47.38% |     46.34%
    mpki                             |      17.08 |      16.60 |      16.75 |      16.84 |      17.44 |      17.42 |      17.21 |      17.00 |      15.41 |      16.50 |      17.10 |      16.79 |      17.10 |      16.21 |      17.30 |      16.33
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        130 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     256.18 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     202.75 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          9 |          5 |          6 |          4 |          4 |          4 |          6 |          4 |          5 |          5 |          4 |          4 |          4 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
