                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   86509080 |   91286777 |   91683241 |   81433760 |   89705639 |   75280816 |   91309548 |   75095223 |   90280603 |   90770614 |   85334433 |   86305394 |   91218486 |   87128840 |   85253565 |   91428572
  Cycles                             |   51166375 |   51166375 |   51166375 |   51166375 |   51166375 |   51166375 |   51166375 |   51166375 |   51166375 |   51166375 |   51166375 |   51166375 |   51166375 |   51166375 |   51166375 |   51166375
  IPC                                |       1.69 |       1.78 |       1.79 |       1.59 |       1.75 |       1.47 |       1.78 |       1.47 |       1.76 |       1.77 |       1.67 |       1.69 |       1.78 |       1.70 |       1.67 |       1.79
  Time (ns)                          |   19235480 |   19235480 |   19235480 |   19235480 |   19235480 |   19235480 |   19235480 |   19235480 |   19235480 |   19235480 |   19235480 |   19235480 |   19235480 |   19235480 |   19235480 |   19235480
  Idle time (ns)                     |    1030510 |      71697 |       3559 |    2056766 |     404581 |    3245294 |      90029 |    3311262 |     267757 |     172540 |    1266135 |    1070438 |      89771 |     911521 |    1289059 |      60587
  Idle time (%)                      |       5.4% |       0.4% |       0.0% |      10.7% |       2.1% |      16.9% |       0.5% |      17.2% |       1.4% |       0.9% |       6.6% |       5.6% |       0.5% |       4.7% |       6.7% |       0.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   21390924 |   22585309 |   22684463 |   20122085 |   22189992 |   18584032 |   22591037 |   18537436 |   22333779 |   22456292 |   21097268 |   21340002 |   22568272 |   21545875 |   21077040 |   22620698
  num incorrect                      |       1081 |       1112 |       1066 |       1090 |       1152 |        928 |       1090 |       1113 |       1117 |       1112 |       1077 |       1086 |       1077 |       1081 |       1077 |       1170
  misprediction rate                 |      0.01% |      0.00% |      0.00% |      0.01% |      0.01% |      0.00% |      0.00% |      0.01% |      0.01% |      0.00% |      0.01% |      0.01% |      0.00% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   42786920 |   45175755 |   45373944 |   40249262 |   44385193 |   37172878 |   45187177 |   37080035 |   44672707 |   44917740 |   42199614 |   42685095 |   45141611 |   43096830 |   42159143 |   45246617
    num cache misses                 |         15 |         17 |         17 |         16 |         16 |         15 |         16 |         16 |         15 |         15 |         16 |         16 |         17 |         15 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   43512068 |   45900918 |   46099138 |   40974408 |   45110359 |   37897952 |   45912316 |   37805154 |   45397843 |   45642847 |   42924745 |   43410235 |   45866769 |   43821964 |   42884306 |   45971810
    num cache misses                 |      24852 |      26344 |      26325 |      23335 |      25633 |      21788 |      26017 |      21501 |      26152 |      26220 |      24600 |      24748 |      26306 |      24919 |      24376 |      26052
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.28 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.28
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      26069 |      27389 |      27276 |      24340 |      26649 |      22830 |      27029 |      22536 |      27376 |      27260 |      25611 |      25748 |      27335 |      25955 |      25424 |      27112
    num cache misses                 |      24867 |      26362 |      26343 |      23351 |      25649 |      21803 |      26033 |      21517 |      26167 |      26235 |      24616 |      24764 |      26323 |      24934 |      24393 |      26070
    miss rate                        |     95.39% |     96.25% |     96.58% |     95.94% |     96.25% |     95.50% |     96.32% |     95.48% |     95.58% |     96.24% |     96.11% |     96.18% |     96.30% |     96.07% |     95.94% |     96.16%
    mpki                             |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      26069 |      27389 |      27276 |      24340 |      26649 |      22830 |      27029 |      22536 |      27376 |      27260 |      25611 |      25748 |      27335 |      25955 |      25424 |      27112
    num cache misses                 |      13420 |      14586 |      14224 |      11869 |      13583 |      11226 |      13805 |      10985 |      14250 |      14192 |      12856 |      12739 |      14005 |      12630 |      12311 |      13621
    miss rate                        |     51.48% |     53.25% |     52.15% |     48.76% |     50.97% |     49.17% |     51.07% |     48.74% |     52.05% |     52.06% |     50.20% |     49.48% |     51.23% |     48.66% |     48.42% |     50.24%
    mpki                             |       0.16 |       0.16 |       0.16 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.16 |       0.16 |       0.15 |       0.15 |       0.15 |       0.14 |       0.14 |       0.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     157.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     103.57 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          3 |          5 |          3 |          3 |          5 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7748 |       8316 |       8164 |       6720 |       7845 |       6372 |       8101 |       6244 |       8097 |       7976 |       7243 |       7235 |       8121 |       7394 |       7221 |       7998
