                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   41725945 |   43918916 |   40714190 |   42871723 |   40424512 |   44384367 |   45188337 |   41944572
  Cycles                             |   25913037 |   25913037 |   25913037 |   25913037 |   25913037 |   25913037 |   25913037 |   25913037
  IPC                                |       1.61 |       1.69 |       1.57 |       1.65 |       1.56 |       1.71 |       1.74 |       1.62
  Time (ns)                          |    9741743 |    9741743 |    9741743 |    9741743 |    9741743 |    9741743 |    9741743 |    9741743
  Idle time (ns)                     |     660166 |     303866 |     932975 |     524791 |     989997 |     244297 |     101032 |     703374
  Idle time (%)                      |       6.8% |       3.1% |       9.6% |       5.4% |      10.2% |       2.5% |       1.0% |       7.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10195048 |   10743237 |    9942102 |   10481479 |    9869616 |   10859594 |   11060625 |   10249646
  num incorrect                      |        921 |        966 |        926 |        940 |        990 |        974 |        926 |        972
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20394873 |   21491338 |   19888992 |   20967778 |   19744138 |   21724054 |   22125997 |   20504148
    num cache misses                 |         16 |         17 |         16 |         16 |         16 |         16 |         17 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21119990 |   22216463 |   20614111 |   21692891 |   20469267 |   22449192 |   22851170 |   21229294
    num cache misses                 |      14304 |      14593 |      13620 |      14246 |       6402 |       7125 |       7206 |       6507
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.07% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.34 |       0.33 |       0.33 |       0.33 |       0.16 |       0.16 |       0.16 |       0.16
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      15281 |      15370 |      14423 |      15057 |       7633 |       8323 |       8291 |       7762
    num cache misses                 |       5081 |       2088 |       1044 |        823 |       1043 |       1076 |        935 |       1037
    miss rate                        |     33.25% |     13.58% |      7.24% |      5.47% |     13.66% |     12.93% |     11.28% |     13.36%
    mpki                             |       0.12 |       0.05 |       0.03 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5082 |       2177 |       1045 |        825 |       2370 |       2323 |       2057 |       2384
    num cache misses                 |          8 |         11 |         11 |          5 |         15 |         12 |          9 |          9
    miss rate                        |      0.16% |      0.51% |      1.05% |      0.61% |      0.63% |      0.52% |      0.44% |      0.38%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     181.70 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     128.27 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          6 |          3 |          3 |          5 |          5 |          5 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
