                                     | Core 0     | Core 1    
  Instructions                       |     117479 |     122012
  Cycles                             |     339742 |     339742
  IPC                                |       0.35 |       0.36
  Time (ns)                          |     127723 |     127723
  Idle time (ns)                     |     100408 |      99288
  Idle time (%)                      |      78.6% |      77.7%
Branch predictor stats               |            |           
  num correct                        |      16623 |      17756
  num incorrect                      |        249 |        259
  misprediction rate                 |      1.48% |      1.44%
  mpki                               |       2.12 |       2.12
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      36728 |      39011
    num cache misses                 |         15 |         14
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.13 |       0.11
  Cache L1-D                         |            |           
    num cache accesses               |      68771 |      71045
    num cache misses                 |       1680 |       1624
    miss rate                        |      2.44% |      2.29%
    mpki                             |      14.30 |      13.31
  Cache L2                           |            |           
    num cache accesses               |       2235 |       2234
    num cache misses                 |         24 |          6
    miss rate                        |      1.07% |      0.27%
    mpki                             |       0.20 |       0.05
  Cache L3                           |            |           
    num cache accesses               |         26 |          9
    num cache misses                 |         24 |          6
    miss rate                        |     92.31% |     66.67%
    mpki                             |       0.20 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      98.77 |        inf
  average dram queueing delay        |      45.34 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
