                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3866966 |    4116783 |    4010873 |    4202608 |    3891004 |    4088743 |    4019968 |    4259973 |    3703844 |    4034078 |    4273924 |    6051788 |    3540551 |    4311468 |    5566400 |    4182329
  Cycles                             |   61443241 |   61443241 |   61443241 |   61443241 |   61443241 |   61443241 |   61443241 |   61443241 |   61443241 |   61443241 |   61443241 |   61443241 |   61443241 |   61443241 |   61443241 |   61443241
  IPC                                |       0.06 |       0.07 |       0.07 |       0.07 |       0.06 |       0.07 |       0.07 |       0.07 |       0.06 |       0.07 |       0.07 |       0.10 |       0.06 |       0.07 |       0.09 |       0.07
  Time (ns)                          |   23098963 |   23098963 |   23098963 |   23098963 |   23098963 |   23098963 |   23098963 |   23098963 |   23098963 |   23098963 |   23098963 |   23098963 |   23098963 |   23098963 |   23098963 |   23098963
  Idle time (ns)                     |    2510057 |     910108 |    1470489 |     623135 |    2546224 |    1337268 |    1871669 |     676342 |    3961056 |    1623560 |     558648 |       4530 |    5444980 |     610949 |      80193 |    1013494
  Idle time (%)                      |      10.9% |       3.9% |       6.4% |       2.7% |      11.0% |       5.8% |       8.1% |       2.9% |      17.1% |       7.0% |       2.4% |       0.0% |      23.6% |       2.6% |       0.3% |       4.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     605614 |     655535 |     634382 |     672712 |     610434 |     649979 |     636220 |     684233 |     572982 |     639019 |     686978 |    1042515 |     540344 |     694495 |     945459 |     668697
  num incorrect                      |        185 |        229 |        201 |        217 |        178 |        177 |        181 |        169 |        200 |        204 |        219 |        250 |        174 |        206 |        235 |        181
  misprediction rate                 |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03% |      0.03% |      0.02% |      0.03%
  mpki                               |       0.05 |       0.06 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.04 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1217588 |    1317522 |    1275161 |    1351852 |    1227219 |    1306306 |    1278796 |    1374798 |    1152357 |    1284440 |    1380388 |    2091521 |    1087030 |    1395396 |    1897383 |    1343750
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         16 |         17 |         16 |         17 |         17 |         17 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2442407 |    2592301 |    2528765 |    2643796 |    2456844 |    2575477 |    2534212 |    2678215 |    2344547 |    2542678 |    2686597 |    3753304 |    2246563 |    2709112 |    3462084 |    2631640
    num cache misses                 |     562216 |     551952 |     535957 |     563505 |     513232 |     546435 |     531810 |     555158 |     517144 |     517801 |     551221 |     563306 |     428898 |     558346 |     564968 |     539495
    miss rate                        |     23.02% |     21.29% |     21.19% |     21.31% |     20.89% |     21.22% |     20.99% |     20.73% |     22.06% |     20.36% |     20.52% |     15.01% |     19.09% |     20.61% |     16.32% |     20.50%
    mpki                             |     145.39 |     134.07 |     133.63 |     134.08 |     131.90 |     133.64 |     132.29 |     130.32 |     139.62 |     128.36 |     128.97 |      93.08 |     121.14 |     129.50 |     101.50 |     128.99
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     562273 |     552024 |     536019 |     563567 |     513292 |     546492 |     531863 |     555217 |     517204 |     517864 |     551285 |     563367 |     428957 |     558409 |     565050 |     539554
    num cache misses                 |     562232 |     551969 |     535974 |     563522 |     513249 |     546452 |     531827 |     555175 |     517160 |     517818 |     551238 |     563323 |     428915 |     558363 |     564984 |     539511
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99%
    mpki                             |     145.39 |     134.08 |     133.63 |     134.09 |     131.91 |     133.65 |     132.30 |     130.32 |     139.63 |     128.36 |     128.98 |      93.08 |     121.14 |     129.51 |     101.50 |     129.00
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     562273 |     552024 |     536019 |     563567 |     513292 |     546492 |     531863 |     555217 |     517204 |     517864 |     551285 |     563367 |     428957 |     558409 |     565050 |     539554
    num cache misses                 |     191413 |     290918 |     284362 |     309149 |     280863 |     306899 |     303087 |     329900 |     183689 |     292848 |     313340 |     326945 |     248034 |     330288 |     335629 |     329243
    miss rate                        |     34.04% |     52.70% |     53.05% |     54.86% |     54.72% |     56.16% |     56.99% |     59.42% |     35.52% |     56.55% |     56.84% |     58.03% |     57.82% |     59.15% |     59.40% |     61.02%
    mpki                             |      49.50 |      70.67 |      70.90 |      73.56 |      72.18 |      75.06 |      75.40 |      77.44 |      49.59 |      72.59 |      73.31 |      54.02 |      70.06 |      76.61 |      60.30 |      78.72
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     221.77 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     168.34 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          5 |          4 |          5 |          3 |          4 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          6 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      92978 |     175584 |     170820 |     173097 |     157802 |     165066 |     158315 |     161472 |      88405 |     151143 |     157229 |     160123 |     124654 |     160053 |     165326 |     167007
