                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   43087823 |   42190463 |   44519617 |   45120802 |   38453141 |   41605451 |   32549893 |   44180122
  Cycles                             |   25985921 |   25985921 |   25985921 |   25985921 |   25985921 |   25985921 |   25985921 |   25985921
  IPC                                |       1.66 |       1.62 |       1.71 |       1.74 |       1.48 |       1.60 |       1.25 |       1.70
  Time (ns)                          |    9769143 |    9769143 |    9769143 |    9769143 |    9769143 |    9769143 |    9769143 |    9769143
  Idle time (ns)                     |     402398 |     638954 |     206224 |     101998 |    1396307 |     797665 |    2515414 |     324965
  Idle time (%)                      |       4.1% |       6.5% |       2.1% |       1.0% |      14.3% |       8.2% |      25.7% |       3.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10535745 |   10311421 |   10893692 |   11044001 |    9377134 |   10165117 |    7901436 |   10808734
  num incorrect                      |        948 |        938 |        955 |        946 |        890 |        984 |        779 |       1037
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21076310 |   20627664 |   21792238 |   22092830 |   18758985 |   20335137 |   15807379 |   21622470
    num cache misses                 |         15 |         16 |         16 |         15 |         17 |         17 |         17 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21801443 |   21352759 |   22517336 |   22817940 |   19484095 |   21060250 |   16532471 |   22347586
    num cache misses                 |      13585 |      13019 |      13823 |      13801 |       7873 |       8699 |       6878 |       8885
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.32 |       0.31 |       0.31 |       0.31 |       0.20 |       0.21 |       0.21 |       0.20
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      14911 |      14068 |      14852 |      14773 |       8882 |       9663 |       7886 |       9838
    num cache misses                 |       5014 |       1502 |        908 |        611 |       1651 |       1827 |       1325 |       1448
    miss rate                        |     33.63% |     10.68% |      6.11% |      4.14% |     18.59% |     18.91% |     16.80% |     14.72%
    mpki                             |       0.12 |       0.04 |       0.02 |       0.01 |       0.04 |       0.04 |       0.04 |       0.03
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5560 |       1992 |       1354 |       1036 |       2596 |       2738 |       2277 |       2336
    num cache misses                 |          8 |         12 |         19 |          6 |          9 |          9 |         10 |          9
    miss rate                        |      0.14% |      0.60% |      1.40% |      0.58% |      0.35% |      0.33% |      0.44% |      0.39%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     176.86 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     123.43 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          2 |          5 |          3 |          5 |          4 |          6 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
