                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     440380 |     592756 |     579515 |     565449 |     535511 |     505784 |     531683 |     559667 |     599289 |     557507 |     576367 |     577513 |     535650 |     585607 |     489691 |     572087
  Cycles                             |    1494599 |    1494599 |    1494599 |    1494599 |    1494599 |    1494599 |    1494599 |    1494599 |    1494599 |    1494599 |    1494599 |    1494599 |    1494599 |    1494599 |    1494599 |    1494599
  IPC                                |       0.29 |       0.40 |       0.39 |       0.38 |       0.36 |       0.34 |       0.36 |       0.37 |       0.40 |       0.37 |       0.39 |       0.39 |       0.36 |       0.39 |       0.33 |       0.38
  Time (ns)                          |     561880 |     561880 |     561880 |     561880 |     561880 |     561880 |     561880 |     561880 |     561880 |     561880 |     561880 |     561880 |     561880 |     561880 |     561880 |     561880
  Idle time (ns)                     |     176757 |       4848 |       4523 |      26930 |      64490 |      94088 |      52468 |      10920 |      27785 |      72539 |      33723 |      63739 |      86498 |      29737 |     126668 |       6961
  Idle time (%)                      |      31.5% |       0.9% |       0.8% |       4.8% |      11.5% |      16.7% |       9.3% |       1.9% |       4.9% |      12.9% |       6.0% |      11.3% |      15.4% |       5.3% |      22.5% |       1.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      97262 |     135243 |     131953 |     128503 |     120986 |     113592 |     120073 |     127005 |     136997 |     126375 |     131150 |     131469 |     121038 |     133515 |     109496 |     130018
  num incorrect                      |        330 |        432 |        410 |        358 |        392 |        351 |        352 |        414 |        325 |        489 |        435 |        407 |        374 |        383 |        429 |        492
  misprediction rate                 |      0.34% |      0.32% |      0.31% |      0.28% |      0.32% |      0.31% |      0.29% |      0.32% |      0.24% |      0.39% |      0.33% |      0.31% |      0.31% |      0.29% |      0.39% |      0.38%
  mpki                               |       0.75 |       0.73 |       0.71 |       0.63 |       0.73 |       0.69 |       0.66 |       0.74 |       0.54 |       0.88 |       0.75 |       0.70 |       0.70 |       0.65 |       0.88 |       0.86
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     198148 |     274307 |     267692 |     260690 |     245730 |     230846 |     243835 |     257820 |     277630 |     256661 |     266125 |     266716 |     245794 |     270755 |     222828 |     263989
    num cache misses                 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     230221 |     306395 |     299763 |     292758 |     277789 |     262926 |     275881 |     289867 |     309671 |     288767 |     298217 |     298790 |     277859 |     302838 |     254881 |     296060
    num cache misses                 |      10094 |      14161 |      14030 |      13425 |      12249 |      11425 |      12314 |      13093 |      13512 |      12026 |      12882 |      12265 |      11525 |      12721 |      10347 |      13168
    miss rate                        |      4.38% |      4.62% |      4.68% |      4.59% |      4.41% |      4.35% |      4.46% |      4.52% |      4.36% |      4.16% |      4.32% |      4.10% |      4.15% |      4.20% |      4.06% |      4.45%
    mpki                             |      22.92 |      23.89 |      24.21 |      23.74 |      22.87 |      22.59 |      23.16 |      23.39 |      22.55 |      21.57 |      22.35 |      21.24 |      21.52 |      21.72 |      21.13 |      23.02
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11304 |      15090 |      14917 |      14409 |      13251 |      12465 |      13358 |      14076 |      14708 |      13013 |      13835 |      13213 |      12518 |      13700 |      11358 |      14185
    num cache misses                 |      10113 |      14177 |      14051 |      13443 |      12269 |      11445 |      12339 |      13113 |      13528 |      12044 |      12901 |      12283 |      11543 |      12744 |      10371 |      13193
    miss rate                        |     89.46% |     93.95% |     94.19% |     93.30% |     92.59% |     91.82% |     92.37% |     93.16% |     91.98% |     92.55% |     93.25% |     92.96% |     92.21% |     93.02% |     91.31% |     93.01%
    mpki                             |      22.96 |      23.92 |      24.25 |      23.77 |      22.91 |      22.63 |      23.21 |      23.43 |      22.57 |      21.60 |      22.38 |      21.27 |      21.55 |      21.76 |      21.18 |      23.06
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11304 |      15090 |      14917 |      14409 |      13251 |      12465 |      13358 |      14076 |      14708 |      13013 |      13835 |      13213 |      12518 |      13700 |      11358 |      14185
