                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      80614 |     119627 |     109963 |     105526 |      73795 |      91800 |     116770 |     110142
  Cycles                             |     778074 |     778074 |     778074 |     778074 |     778074 |     778074 |     778074 |     778074
  IPC                                |       0.10 |       0.15 |       0.14 |       0.14 |       0.09 |       0.12 |       0.15 |       0.14
  Time (ns)                          |     292509 |     292509 |     292509 |     292509 |     292509 |     292509 |     292509 |     292509
  Idle time (ns)                     |     209959 |     102629 |     129956 |     153315 |     239703 |     168862 |     102051 |     125063
  Idle time (%)                      |      71.8% |      35.1% |      44.4% |      52.4% |      81.9% |      57.7% |      34.9% |      42.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |       6172 |      12580 |      10992 |      10317 |       5096 |       8047 |      12164 |      11071
  num incorrect                      |        104 |        200 |        177 |        112 |         46 |         96 |        140 |        130
  misprediction rate                 |      1.66% |      1.56% |      1.58% |      1.07% |      0.89% |      1.18% |      1.14% |      1.16%
  mpki                               |       1.29 |       1.67 |       1.61 |       1.06 |       0.62 |       1.05 |       1.20 |       1.18
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      18542 |      31555 |      28333 |      26854 |      16275 |      22281 |      30601 |      28397
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         16 |         17
    miss rate                        |      0.09% |      0.05% |      0.06% |      0.06% |      0.10% |      0.08% |      0.05% |      0.06%
    mpki                             |       0.20 |       0.14 |       0.15 |       0.16 |       0.23 |       0.19 |       0.14 |       0.15
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      49838 |      69355 |      64523 |      62303 |      46436 |      55442 |      67926 |      64611
    num cache misses                 |       4482 |       8558 |       8122 |       7321 |       2256 |       5635 |       8491 |       8157
    miss rate                        |      8.99% |     12.34% |     12.59% |     11.75% |      4.86% |     10.16% |     12.50% |     12.62%
    mpki                             |      55.60 |      71.54 |      73.86 |      69.38 |      30.57 |      61.38 |      72.72 |      74.06
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4644 |       8783 |       8346 |       7540 |       2329 |       5816 |       8647 |       8396
    num cache misses                 |       2327 |       5050 |       4158 |       3553 |       1398 |       3597 |       5468 |       4645
    miss rate                        |     50.11% |     57.50% |     49.82% |     47.12% |     60.03% |     61.85% |     63.24% |     55.32%
    mpki                             |      28.87 |      42.21 |      37.81 |      33.67 |      18.94 |      39.18 |      46.83 |      42.17
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2401 |       5173 |       4278 |       3653 |       1423 |       3730 |       5570 |       4785
    num cache misses                 |         11 |          5 |          4 |          4 |         19 |          4 |          4 |          5
    miss rate                        |      0.46% |      0.10% |      0.09% |      0.11% |      1.34% |      0.11% |      0.07% |      0.10%
    mpki                             |       0.14 |       0.04 |       0.04 |       0.04 |       0.26 |       0.04 |       0.03 |       0.05
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     102.93 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      49.50 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          3 |          3 |          8 |          3 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
