                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     579411 |     547635 |     542158 |     538261 |     530045 |     414432 |     406000 |     543133 |     473515 |     513575 |     505050 |     529025 |     553735 |     592272 |     581405 |     500365
  Cycles                             |    8816781 |    8816781 |    8816781 |    8816781 |    8816781 |    8816781 |    8816781 |    8816781 |    8816781 |    8816781 |    8816781 |    8816781 |    8816781 |    8816781 |    8816781 |    8816781
  IPC                                |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.05 |       0.06 |       0.05 |       0.06 |       0.06 |       0.06 |       0.06 |       0.07 |       0.07 |       0.06
  Time (ns)                          |    3314580 |    3314580 |    3314580 |    3314580 |    3314580 |    3314580 |    3314580 |    3314580 |    3314580 |    3314580 |    3314580 |    3314580 |    3314580 |    3314580 |    3314580 |    3314580
  Idle time (ns)                     |      55891 |      93732 |     118528 |     145135 |     215493 |    1169683 |    1253043 |      78977 |     836707 |     433821 |     485179 |     286756 |      92530 |       4586 |      35071 |     453473
  Idle time (%)                      |       1.7% |       2.8% |       3.6% |       4.4% |       6.5% |      35.3% |      37.8% |       2.4% |      25.2% |      13.1% |      14.6% |       8.7% |       2.8% |       0.1% |       1.1% |      13.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      92056 |      85676 |      84624 |      83828 |      82147 |      59096 |      57424 |      84793 |      70899 |      78842 |      77180 |      81990 |      86934 |      94644 |      92402 |      76248
  num incorrect                      |        232 |        258 |        216 |        232 |        269 |        199 |        183 |        242 |        218 |        280 |        237 |        229 |        220 |        224 |        286 |        232
  misprediction rate                 |      0.25% |      0.30% |      0.25% |      0.28% |      0.33% |      0.34% |      0.32% |      0.28% |      0.31% |      0.35% |      0.31% |      0.28% |      0.25% |      0.24% |      0.31% |      0.30%
  mpki                               |       0.40 |       0.47 |       0.40 |       0.43 |       0.51 |       0.48 |       0.45 |       0.45 |       0.46 |       0.55 |       0.47 |       0.43 |       0.40 |       0.38 |       0.49 |       0.46
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     190566 |     177862 |     175675 |     174114 |     170826 |     124585 |     121208 |     176065 |     148229 |     164238 |     160828 |     170433 |     180302 |     195729 |     191370 |     158954
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         16 |         17 |         17 |         16 |         17 |         15 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     361874 |     342811 |     339536 |     337189 |     332257 |     262900 |     257830 |     340121 |     298353 |     322375 |     317260 |     331659 |     346471 |     369607 |     363073 |     314449
    num cache misses                 |      92594 |      77188 |      76644 |      75881 |      74545 |      50404 |      48935 |      77463 |      69272 |      68534 |      67139 |      72017 |      77224 |      80295 |      78867 |      67479
    miss rate                        |     25.59% |     22.52% |     22.57% |     22.50% |     22.44% |     19.17% |     18.98% |     22.78% |     23.22% |     21.26% |     21.16% |     21.71% |     22.29% |     21.72% |     21.72% |     21.46%
    mpki                             |     159.81 |     140.95 |     141.37 |     140.97 |     140.64 |     121.62 |     120.53 |     142.62 |     146.29 |     133.44 |     132.94 |     136.13 |     139.46 |     135.57 |     135.65 |     134.86
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      92744 |      77390 |      76775 |      76044 |      74727 |      50551 |      49067 |      77603 |      69404 |      68744 |      67314 |      72179 |      77368 |      80431 |      79077 |      67621
    num cache misses                 |      92610 |      77205 |      76661 |      75898 |      74562 |      50421 |      48952 |      77480 |      69288 |      68551 |      67156 |      72033 |      77241 |      80310 |      78884 |      67496
    miss rate                        |     99.86% |     99.76% |     99.85% |     99.81% |     99.78% |     99.74% |     99.77% |     99.84% |     99.83% |     99.72% |     99.77% |     99.80% |     99.84% |     99.85% |     99.76% |     99.82%
    mpki                             |     159.83 |     140.98 |     141.40 |     141.01 |     140.67 |     121.66 |     120.57 |     142.65 |     146.33 |     133.48 |     132.97 |     136.16 |     139.49 |     135.60 |     135.68 |     134.89
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      92744 |      77390 |      76775 |      76044 |      74727 |      50551 |      49067 |      77603 |      69404 |      68744 |      67314 |      72179 |      77368 |      80431 |      79077 |      67621
    num cache misses                 |      38200 |      41836 |      41345 |      40903 |      40613 |      26635 |      25905 |      42925 |      27447 |      37331 |      36809 |      39374 |      42462 |      43939 |      43135 |      36508
    miss rate                        |     41.19% |     54.06% |     53.85% |     53.79% |     54.35% |     52.69% |     52.80% |     55.31% |     39.55% |     54.30% |     54.68% |     54.55% |     54.88% |     54.63% |     54.55% |     53.99%
    mpki                             |      65.93 |      76.39 |      76.26 |      75.99 |      76.62 |      64.27 |      63.81 |      79.03 |      57.96 |      72.69 |      72.88 |      74.43 |      76.68 |      74.19 |      74.19 |      72.96
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     220.24 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     166.81 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          6 |          5 |          4 |          3 |          3 |          3 |          4 |          3 |          4 |          4 |          3 |          4 |          3 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      28519 |      30555 |      30623 |      30146 |      29701 |      19716 |      18858 |      30906 |      20744 |      26874 |      26675 |      28854 |      30680 |      31617 |      31078 |      26747
