                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    2815057 |    3408899 |    3373094 |    3487856 |    3323664 |    3433920 |    2247156 |    3504835
  Cycles                             |    2489177 |    2489177 |    2489177 |    2489177 |    2489177 |    2489177 |    2489177 |    2489177
  IPC                                |       1.13 |       1.37 |       1.36 |       1.40 |       1.34 |       1.38 |       0.90 |       1.41
  Time (ns)                          |     935781 |     935781 |     935781 |     935781 |     935781 |     935781 |     935781 |     935781
  Idle time (ns)                     |     182423 |     123449 |     136135 |     119365 |     118458 |     101037 |     368394 |     104092
  Idle time (%)                      |      19.5% |      13.2% |      14.5% |      12.8% |      12.7% |      10.8% |      39.4% |      11.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     669912 |     818432 |     809462 |     838115 |     797130 |     824586 |     528141 |     842433
  num incorrect                      |        832 |        780 |        794 |        824 |        774 |        875 |        647 |        761
  misprediction rate                 |      0.12% |      0.10% |      0.10% |      0.10% |      0.10% |      0.11% |      0.12% |      0.09%
  mpki                               |       0.30 |       0.23 |       0.24 |       0.24 |       0.23 |       0.25 |       0.29 |       0.22
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1344415 |    1641357 |    1623439 |    1680790 |    1598747 |    1653835 |    1060529 |    1689309
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         15 |         15 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1439544 |    1736475 |    1718572 |    1775942 |    1693857 |    1748979 |    1155606 |    1784440
    num cache misses                 |      10254 |      11284 |      11266 |      11462 |      10150 |      10519 |       6827 |       9788
    miss rate                        |      0.71% |      0.65% |      0.66% |      0.65% |      0.60% |      0.60% |      0.59% |      0.55%
    mpki                             |       3.64 |       3.31 |       3.34 |       3.29 |       3.05 |       3.06 |       3.04 |       2.79
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11887 |      12251 |      12242 |      12360 |      11273 |      11444 |       7930 |      10862
    num cache misses                 |       3767 |       1698 |        938 |        883 |       2561 |       2151 |       1153 |       1193
    miss rate                        |     31.69% |     13.86% |      7.66% |      7.14% |     22.72% |     18.80% |     14.54% |     10.98%
    mpki                             |       1.34 |       0.50 |       0.28 |       0.25 |       0.77 |       0.63 |       0.51 |       0.34
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5046 |       2111 |       1520 |       1435 |       3332 |       2916 |       1783 |       2083
    num cache misses                 |         14 |          5 |          5 |          6 |          6 |         11 |          6 |          5
    miss rate                        |      0.28% |      0.24% |      0.33% |      0.42% |      0.18% |      0.38% |      0.34% |      0.24%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     111.04 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      57.61 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          3 |          4 |          4 |          5 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
