                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3762331 |    4666718 |    4812692 |    4397507 |    5431366 |    6620036 |    6083216 |    6611017
  Cycles                             |   29279799 |   29279799 |   29279799 |   29279799 |   29279799 |   29279799 |   29279799 |   29279799
  IPC                                |       0.13 |       0.16 |       0.16 |       0.15 |       0.19 |       0.23 |       0.21 |       0.23
  Time (ns)                          |   11007443 |   11007443 |   11007443 |   11007443 |   11007443 |   11007443 |   11007443 |   11007443
  Idle time (ns)                     |    1860941 |     229360 |     362545 |    2253487 |     517776 |     101067 |     676646 |     690868
  Idle time (%)                      |      16.9% |       2.1% |       3.3% |      20.5% |       4.7% |       0.9% |       6.1% |       6.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     584617 |     765470 |     794691 |     711685 |     918427 |    1156150 |    1048778 |    1154336
  num incorrect                      |        255 |        285 |        254 |        228 |        258 |        263 |        276 |        274
  misprediction rate                 |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03% |      0.02%
  mpki                               |       0.07 |       0.06 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1175734 |    1537504 |    1595880 |    1429820 |    1843363 |    2318814 |    2104103 |    2315210
    num cache misses                 |         16 |         17 |         17 |         17 |         16 |         17 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2379626 |    2922271 |    3009838 |    2760745 |    3381061 |    4094243 |    3772170 |    4088833
    num cache misses                 |     423061 |     461176 |     482460 |     414575 |     539108 |     590110 |     592142 |     614637
    miss rate                        |     17.78% |     15.78% |     16.03% |     15.02% |     15.94% |     14.41% |     15.70% |     15.03%
    mpki                             |     112.45 |      98.82 |     100.25 |      94.28 |      99.26 |      89.14 |      97.34 |      92.97
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     423086 |     461203 |     482486 |     414600 |     539199 |     590198 |     592226 |     614724
    num cache misses                 |     243218 |     271151 |     266927 |     206075 |     252631 |     261154 |     240430 |     232934
    miss rate                        |     57.49% |     58.79% |     55.32% |     49.70% |     46.85% |     44.25% |     40.60% |     37.89%
    mpki                             |      64.65 |      58.10 |      55.46 |      46.86 |      46.51 |      39.45 |      39.52 |      35.23
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     243219 |     271153 |     266928 |     206077 |     252687 |     261215 |     240489 |     232990
    num cache misses                 |          8 |          6 |          7 |          5 |          5 |         26 |          6 |          8
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     139.66 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      86.23 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          5 |          3 |          2 |          3 |          6 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
