                                     | Core 0     | Core 1    
  Instructions                       |     220563 |     220701
  Cycles                             |    1467281 |    1467281
  IPC                                |       0.15 |       0.15
  Time (ns)                          |     551610 |     551610
  Idle time (ns)                     |     412891 |     413323
  Idle time (%)                      |      74.9% |      74.9%
Branch predictor stats               |            |           
  num correct                        |      19611 |      19651
  num incorrect                      |        965 |        976
  misprediction rate                 |      4.69% |      4.73%
  mpki                               |       4.38 |       4.42
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      18374 |      18374
    num cache misses                 |         24 |         26
    miss rate                        |      0.13% |      0.14%
    mpki                             |       0.11 |       0.12
  Cache L1-D                         |            |           
    num cache accesses               |     135752 |     135778
    num cache misses                 |       1531 |       1761
    miss rate                        |      1.13% |      1.30%
    mpki                             |       6.94 |       7.98
  Cache L2                           |            |           
    num cache accesses               |       2389 |       2390
    num cache misses                 |         33 |         14
    miss rate                        |      1.38% |      0.59%
    mpki                             |       0.15 |       0.06
  Cache L3                           |            |           
    num cache accesses               |         35 |         17
    num cache misses                 |         33 |         14
    miss rate                        |     94.29% |     82.35%
    mpki                             |       0.15 |       0.06
DRAM summary                         |            |           
  num dram accesses                  |         46 |          0
  average dram access latency (ns)   |     100.54 |        inf
  average dram queueing delay        |      47.11 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
