                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1308347 |    1341651 |     942073 |    1271152
  Cycles                             |    1142039 |    1142039 |    1142039 |    1142039
  IPC                                |       1.15 |       1.17 |       0.82 |       1.11
  Time (ns)                          |     429338 |     429338 |     429338 |     429338
  Idle time (ns)                     |     106989 |     100883 |     179216 |     113933
  Idle time (%)                      |      24.9% |      23.5% |      41.7% |      26.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     293447 |     301786 |     201988 |     284165
  num incorrect                      |        624 |        622 |        526 |        618
  misprediction rate                 |      0.21% |      0.21% |      0.26% |      0.22%
  mpki                               |       0.48 |       0.46 |       0.56 |       0.49
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     591081 |     607775 |     407991 |     572527
    num cache misses                 |         16 |         15 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.02 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     686192 |     702858 |     503071 |     667610
    num cache misses                 |       6066 |       6149 |       4630 |       5784
    miss rate                        |      0.88% |      0.87% |      0.92% |      0.87%
    mpki                             |       4.64 |       4.58 |       4.91 |       4.55
  Cache L2                           |            |            |            |           
    num cache accesses               |       7174 |       7018 |       5609 |       6753
    num cache misses                 |         20 |          8 |         13 |         10
    miss rate                        |      0.28% |      0.11% |      0.23% |      0.15%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         21 |         11 |         17 |         13
    num cache misses                 |         20 |          8 |         13 |         10
    miss rate                        |     95.24% |     72.73% |     76.47% |     76.92%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     112.84 |        inf |        inf |        inf
  average dram queueing delay        |      59.41 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          3 |          6 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
