                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1403496 |    1403089 |    1405018 |    1404410
  Cycles                             |   25138885 |   25138885 |   25138885 |   25138885
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    9450709 |    9450709 |    9450709 |    9450709
  Idle time (ns)                     |    8083966 |    8084015 |    8080880 |    8082669
  Idle time (%)                      |      85.5% |      85.5% |      85.5% |      85.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     110474 |     110441 |     110619 |     110652
  num incorrect                      |        669 |        651 |        721 |        710
  misprediction rate                 |      0.60% |      0.59% |      0.65% |      0.64%
  mpki                               |       0.48 |       0.46 |       0.51 |       0.51
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      19684 |      19670 |      19751 |      19630
    num cache misses                 |         24 |         26 |         26 |         26
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     951198 |     951069 |     951673 |     951334
    num cache misses                 |       2199 |       2152 |       2396 |       2383
    miss rate                        |      0.23% |      0.23% |      0.25% |      0.25%
    mpki                             |       1.57 |       1.53 |       1.71 |       1.70
  Cache L2                           |            |            |            |           
    num cache accesses               |       2619 |       2550 |       2860 |       2797
    num cache misses                 |         16 |         12 |         27 |         10
    miss rate                        |      0.61% |      0.47% |      0.94% |      0.36%
    mpki                             |       0.01 |       0.01 |       0.02 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         17 |         15 |         31 |         13
    num cache misses                 |         16 |         12 |         27 |         10
    miss rate                        |     94.12% |     80.00% |     87.10% |     76.92%
    mpki                             |       0.01 |       0.01 |       0.02 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         58 |          0 |          0 |          0
  average dram access latency (ns)   |     138.75 |        inf |        inf |        inf
  average dram queueing delay        |      85.32 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          6 |          9 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
