                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6280456 |    5752360 |    5812940 |    6243064 |    6386481 |    6162862 |    5512008 |    5444674 |    5494694 |    4312943 |    5558718 |    6209316 |    6342272 |    6618794 |    6467571 |    5682688
  Cycles                             |    5657646 |    5657646 |    5657646 |    5657646 |    5657646 |    5657646 |    5657646 |    5657646 |    5657646 |    5657646 |    5657646 |    5657646 |    5657646 |    5657646 |    5657646 |    5657646
  IPC                                |       1.11 |       1.02 |       1.03 |       1.10 |       1.13 |       1.09 |       0.97 |       0.96 |       0.97 |       0.76 |       0.98 |       1.10 |       1.12 |       1.17 |       1.14 |       1.00
  Time (ns)                          |    2126935 |    2126935 |    2126935 |    2126935 |    2126935 |    2126935 |    2126935 |    2126935 |    2126935 |    2126935 |    2126935 |    2126935 |    2126935 |    2126935 |    2126935 |    2126935
  Idle time (ns)                     |      46230 |     277280 |     236394 |      58073 |      35400 |      92731 |     358072 |     373165 |     366752 |     732619 |     359843 |     138376 |      64044 |       3551 |      36561 |     302927
  Idle time (%)                      |       2.2% |      13.0% |      11.1% |       2.7% |       1.7% |       4.4% |      16.8% |      17.5% |      17.2% |      34.4% |      16.9% |       6.5% |       3.0% |       0.2% |       1.7% |      14.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1536369 |    1404348 |    1419502 |    1526928 |    1562707 |    1506845 |    1344338 |    1327453 |    1339970 |    1044530 |    1355998 |    1518388 |    1551752 |    1621027 |    1583122 |    1386834
  num incorrect                      |        727 |        723 |        724 |        813 |        881 |        838 |        648 |        707 |        686 |        687 |        665 |        905 |        791 |        643 |        745 |        807
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.06% |      0.06% |      0.05% |      0.05% |      0.05% |      0.07% |      0.05% |      0.06% |      0.05% |      0.04% |      0.05% |      0.06%
  mpki                               |       0.12 |       0.13 |       0.12 |       0.13 |       0.14 |       0.14 |       0.12 |       0.13 |       0.12 |       0.16 |       0.12 |       0.15 |       0.12 |       0.10 |       0.12 |       0.14
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3077125 |    2813072 |    2843411 |    3058418 |    3130086 |    3018282 |    2692910 |    2659263 |    2684265 |    2093381 |    2716258 |    3041492 |    3108022 |    3246266 |    3170665 |    2778202
    num cache misses                 |         16 |         16 |         17 |         17 |         17 |         17 |         16 |         16 |         17 |         17 |         16 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3172245 |    2908197 |    2938488 |    3153537 |    3225246 |    3113431 |    2788023 |    2754364 |    2779362 |    2188488 |    2811374 |    3136656 |    3203141 |    3341400 |    3265795 |    2873345
    num cache misses                 |      23040 |      19864 |      20430 |      22819 |      23179 |      22229 |      18674 |      18502 |      18587 |      14592 |      18516 |      21546 |      22433 |      22902 |      22569 |      19133
    miss rate                        |      0.73% |      0.68% |      0.70% |      0.72% |      0.72% |      0.71% |      0.67% |      0.67% |      0.67% |      0.67% |      0.66% |      0.69% |      0.70% |      0.69% |      0.69% |      0.67%
