                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1403583 |    1403422 |    1402137 |    1403789
  Cycles                             |   24937282 |   24937282 |   24937282 |   24937282
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    9374918 |    9374918 |    9374918 |    9374918
  Idle time (ns)                     |    8008729 |    8010549 |    8012421 |    8007996
  Idle time (%)                      |      85.4% |      85.4% |      85.5% |      85.4%
Branch predictor stats               |            |            |            |           
  num correct                        |     110507 |     110560 |     110600 |     110502
  num incorrect                      |        657 |        601 |        622 |        695
  misprediction rate                 |      0.59% |      0.54% |      0.56% |      0.63%
  mpki                               |       0.47 |       0.43 |       0.44 |       0.50
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      19657 |      19606 |      19353 |      19654
    num cache misses                 |         24 |         25 |         23 |         25
    miss rate                        |      0.12% |      0.13% |      0.12% |      0.13%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     951204 |     951126 |     950389 |     951262
    num cache misses                 |       2158 |       2173 |       2128 |       2173
    miss rate                        |      0.23% |      0.23% |      0.22% |      0.23%
    mpki                             |       1.54 |       1.55 |       1.52 |       1.55
  Cache L2                           |            |            |            |           
    num cache accesses               |       2521 |       2502 |       2435 |       2559
    num cache misses                 |         32 |         14 |         14 |         13
    miss rate                        |      1.27% |      0.56% |      0.57% |      0.51%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         34 |         17 |         17 |         16
    num cache misses                 |         32 |         14 |         14 |         13
    miss rate                        |     94.12% |     82.35% |     82.35% |     81.25%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     113.53 |        inf |        inf |        inf
  average dram queueing delay        |      60.10 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          7 |          5 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
