                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     267274 |     278081 |     216285 |     248202
  Cycles                             |     434948 |     434948 |     434948 |     434948
  IPC                                |       0.61 |       0.64 |       0.50 |       0.57
  Time (ns)                          |     163514 |     163514 |     163514 |     163514
  Idle time (ns)                     |     100239 |      99827 |     109248 |     105153
  Idle time (%)                      |      61.3% |      61.1% |      66.8% |      64.3%
Branch predictor stats               |            |            |            |           
  num correct                        |      53785 |      56536 |      41032 |      49039
  num incorrect                      |        527 |        475 |        531 |        498
  misprediction rate                 |      0.97% |      0.83% |      1.28% |      1.01%
  mpki                               |       1.97 |       1.71 |       2.46 |       2.01
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     111574 |     116975 |      86075 |     102010
    num cache misses                 |         15 |         17 |         17 |         16
    miss rate                        |      0.01% |      0.01% |      0.02% |      0.02%
    mpki                             |       0.06 |       0.06 |       0.08 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     143668 |     149064 |     118167 |     134127
    num cache misses                 |       4974 |       4986 |       4413 |       4747
    miss rate                        |      3.46% |      3.34% |      3.73% |      3.54%
    mpki                             |      18.61 |      17.93 |      20.40 |      19.13
  Cache L2                           |            |            |            |           
    num cache accesses               |       5868 |       5805 |       5298 |       5469
    num cache misses                 |         11 |         12 |         15 |          9
    miss rate                        |      0.19% |      0.21% |      0.28% |      0.16%
    mpki                             |       0.04 |       0.04 |       0.07 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |         12 |         15 |         19 |         12
    num cache misses                 |         11 |         12 |         15 |          9
    miss rate                        |     91.67% |     80.00% |     78.95% |     75.00%
    mpki                             |       0.04 |       0.04 |       0.07 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     144.98 |        inf |        inf |        inf
  average dram queueing delay        |      91.55 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          4 |          6 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
