                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   19762821 |   19641832 |   20234750 |   18657335
  Cycles                             |   13259631 |   13259631 |   13259631 |   13259631
  IPC                                |       1.49 |       1.48 |       1.53 |       1.41
  Time (ns)                          |    4984824 |    4984824 |    4984824 |    4984824
  Idle time (ns)                     |     190732 |     216627 |     100762 |     398246
  Idle time (%)                      |       3.8% |       4.3% |       2.0% |       8.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    4704717 |    4674534 |    4822686 |    4428317
  num incorrect                      |        733 |        678 |        750 |        760
  misprediction rate                 |      0.02% |      0.01% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.03 |       0.04 |       0.04
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    9413854 |    9353393 |    9649835 |    8861097
    num cache misses                 |         15 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   10138942 |   10078459 |   10374909 |    9586206
    num cache misses                 |       7044 |       7008 |       7126 |       6585
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.36 |       0.36 |       0.35 |       0.35
  Cache L2                           |            |            |            |           
    num cache accesses               |       8293 |       8035 |       8069 |       7603
    num cache misses                 |         20 |          6 |          9 |          6
    miss rate                        |      0.24% |      0.07% |      0.11% |      0.08%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         22 |          9 |         12 |          9
    num cache misses                 |         20 |          6 |          9 |          6
    miss rate                        |     90.91% |     66.67% |     75.00% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     112.81 |        inf |        inf |        inf
  average dram queueing delay        |      59.38 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
