                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      98832 |     100588 |     100570 |     100784 |     100625 |     100502 |     101063 |     100255
  Cycles                             |    1545924 |    1545924 |    1545924 |    1545924 |    1545924 |    1545924 |    1545924 |    1545924
  IPC                                |       0.06 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.06
  Time (ns)                          |     581175 |     581175 |     581175 |     581175 |     581175 |     581175 |     581175 |     581175
  Idle time (ns)                     |     524259 |     509740 |     512615 |     513158 |     516362 |     511557 |     512006 |     516911
  Idle time (%)                      |      90.2% |      87.7% |      88.2% |      88.3% |      88.8% |      88.0% |      88.1% |      88.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10836 |      10790 |      10850 |      10840 |      10860 |      10823 |      10782 |      10876
  num incorrect                      |        507 |        669 |        628 |        625 |        629 |        650 |        697 |        576
  misprediction rate                 |      4.47% |      5.84% |      5.47% |      5.45% |      5.47% |      5.67% |      6.07% |      5.03%
  mpki                               |       5.13 |       6.65 |       6.24 |       6.20 |       6.25 |       6.47 |       6.90 |       5.75
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      17725 |      17943 |      17926 |      17973 |      17941 |      17920 |      18015 |      17894
    num cache misses                 |         24 |         24 |         24 |         23 |         25 |         25 |         25 |         25
    miss rate                        |      0.14% |      0.13% |      0.13% |      0.13% |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.24 |       0.24 |       0.24 |       0.23 |       0.25 |       0.25 |       0.25 |       0.25
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      52541 |      53280 |      53250 |      53377 |      53269 |      53235 |      53495 |      53115
    num cache misses                 |       2295 |       2860 |       2876 |       2863 |       2866 |       2927 |       2923 |       2648
    miss rate                        |      4.37% |      5.37% |      5.40% |      5.36% |      5.38% |      5.50% |      5.46% |      4.99%
    mpki                             |      23.22 |      28.43 |      28.60 |      28.41 |      28.48 |      29.12 |      28.92 |      26.41
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2938 |       3593 |       3627 |       3626 |       3602 |       3710 |       3666 |       3375
    num cache misses                 |        999 |       1446 |       1292 |       1403 |       1197 |       1420 |       1284 |       1184
    miss rate                        |     34.00% |     40.24% |     35.62% |     38.69% |     33.23% |     38.27% |     35.02% |     35.08%
    mpki                             |      10.11 |      14.38 |      12.85 |      13.92 |      11.90 |      14.13 |      12.70 |      11.81
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1359 |       1909 |       1738 |       1881 |       1601 |       1932 |       1716 |       1637
    num cache misses                 |         36 |          7 |          9 |          7 |          8 |          8 |          8 |          7
    miss rate                        |      2.65% |      0.37% |      0.52% |      0.37% |      0.50% |      0.41% |      0.47% |      0.43%
    mpki                             |       0.36 |       0.07 |       0.09 |       0.07 |       0.08 |       0.08 |       0.08 |       0.07
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         82 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     220.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     167.47 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          9 |          5 |          4 |          6 |          4 |          5 |          5 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
