                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1376179 |    1066047 |    1393647 |    1421435
  Cycles                             |    1180565 |    1180565 |    1180565 |    1180565
  IPC                                |       1.17 |       0.90 |       1.18 |       1.20
  Time (ns)                          |     443822 |     443822 |     443822 |     443822
  Idle time (ns)                     |     111339 |     168983 |     108273 |      99751
  Idle time (%)                      |      25.1% |      38.1% |      24.4% |      22.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     310750 |     233195 |     315143 |     321956
  num incorrect                      |        543 |        561 |        514 |        637
  misprediction rate                 |      0.17% |      0.24% |      0.16% |      0.20%
  mpki                               |       0.39 |       0.53 |       0.37 |       0.45
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     625554 |     470475 |     634281 |     648107
    num cache misses                 |         15 |         17 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.02 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     720621 |     565549 |     729349 |     743241
    num cache misses                 |       6121 |       5060 |       6242 |       6291
    miss rate                        |      0.85% |      0.89% |      0.86% |      0.85%
    mpki                             |       4.45 |       4.75 |       4.48 |       4.43
  Cache L2                           |            |            |            |           
    num cache accesses               |       7292 |       6185 |       7215 |       7067
    num cache misses                 |         11 |         16 |         12 |         11
    miss rate                        |      0.15% |      0.26% |      0.17% |      0.16%
    mpki                             |       0.01 |       0.02 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         12 |         19 |         16 |         14
    num cache misses                 |         11 |         16 |         12 |         11
    miss rate                        |     91.67% |     84.21% |     75.00% |     78.57%
    mpki                             |       0.01 |       0.02 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     145.25 |        inf |        inf |        inf
  average dram queueing delay        |      91.82 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          6 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
