                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      98325 |      97822 |      97483 |      97811
  Cycles                             |     786040 |     786040 |     786040 |     786040
  IPC                                |       0.13 |       0.12 |       0.12 |       0.12
  Time (ns)                          |     295504 |     295504 |     295504 |     295504
  Idle time (ns)                     |     269162 |     269332 |     269996 |     269195
  Idle time (%)                      |      91.1% |      91.1% |      91.4% |      91.1%
Branch predictor stats               |            |            |            |           
  num correct                        |      10801 |      10785 |      10794 |      10793
  num incorrect                      |        518 |        489 |        468 |        497
  misprediction rate                 |      4.58% |      4.34% |      4.16% |      4.40%
  mpki                               |       5.27 |       5.00 |       4.80 |       5.08
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17685 |      17622 |      17578 |      17622
    num cache misses                 |         24 |         25 |         25 |         24
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.24 |       0.26 |       0.26 |       0.25
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52366 |      52152 |      52011 |      52137
    num cache misses                 |       2036 |       1969 |       2079 |       1976
    miss rate                        |      3.89% |      3.78% |      4.00% |      3.79%
    mpki                             |      20.71 |      20.13 |      21.33 |      20.20
  Cache L2                           |            |            |            |           
    num cache accesses               |       2787 |       2568 |       2752 |       2668
    num cache misses                 |         26 |         20 |         10 |         13
    miss rate                        |      0.93% |      0.78% |      0.36% |      0.49%
    mpki                             |       0.26 |       0.20 |       0.10 |       0.13
  Cache L3                           |            |            |            |           
    num cache accesses               |         27 |         24 |         13 |         16
    num cache misses                 |         26 |         20 |         10 |         13
    miss rate                        |     96.30% |     83.33% |     76.92% |     81.25%
    mpki                             |       0.26 |       0.20 |       0.10 |       0.13
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     156.45 |        inf |        inf |        inf
  average dram queueing delay        |     103.02 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          8 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
