                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     151292 |     114087 |     145778 |     150233 |     145561 |     145626 |     145251 |     116353 |     137736 |     125018 |     129380 |     155362 |     147713 |     139457 |     140663 |     102258
  Cycles                             |    1673764 |    1673764 |    1673764 |    1673764 |    1673764 |    1673764 |    1673764 |    1673764 |    1673764 |    1673764 |    1673764 |    1673764 |    1673764 |    1673764 |    1673764 |    1673764
  IPC                                |       0.09 |       0.07 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.07 |       0.08 |       0.07 |       0.08 |       0.09 |       0.09 |       0.08 |       0.08 |       0.06
  Time (ns)                          |     629235 |     629235 |     629235 |     629235 |     629235 |     629235 |     629235 |     629235 |     629235 |     629235 |     629235 |     629235 |     629235 |     629235 |     629235 |     629235
  Idle time (ns)                     |       4571 |     236542 |      20799 |       4452 |      14868 |      25585 |      34131 |     218504 |      71531 |     164753 |     117109 |      11628 |      23407 |      56840 |      71050 |     332253
  Idle time (%)                      |       0.7% |      37.6% |       3.3% |       0.7% |       2.4% |       4.1% |       5.4% |      34.7% |      11.4% |      26.2% |      18.6% |       1.8% |       3.7% |       9.0% |      11.3% |      52.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      20968 |      13474 |      19811 |      20719 |      19798 |      19835 |      19741 |      13974 |      18236 |      15664 |      16595 |      21766 |      20250 |      18587 |      18822 |      11169
  num incorrect                      |         95 |        143 |        141 |        128 |        114 |         90 |        109 |         94 |        111 |        137 |         88 |        106 |         90 |        104 |        108 |         89
  misprediction rate                 |      0.45% |      1.05% |      0.71% |      0.61% |      0.57% |      0.45% |      0.55% |      0.67% |      0.61% |      0.87% |      0.53% |      0.48% |      0.44% |      0.56% |      0.57% |      0.79%
  mpki                               |       0.63 |       1.25 |       0.97 |       0.85 |       0.78 |       0.62 |       0.75 |       0.81 |       0.81 |       1.10 |       0.68 |       0.68 |       0.61 |       0.75 |       0.77 |       0.87
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      48114 |      33220 |      45889 |      47680 |      45810 |      45836 |      45686 |      34121 |      42680 |      37589 |      39360 |      49730 |      46667 |      43368 |      43847 |      28503
    num cache misses                 |         14 |         18 |         17 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         17 |         18 |         18 |         18 |         18 |         17
    miss rate                        |      0.03% |      0.05% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.05% |      0.04% |      0.05% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.06%
    mpki                             |       0.09 |       0.16 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.15 |       0.13 |       0.14 |       0.13 |       0.12 |       0.12 |       0.13 |       0.13 |       0.17
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      94200 |      71858 |      90856 |      93548 |      90743 |      90782 |      90557 |      73207 |      86048 |      78416 |      81058 |      96623 |      92033 |      87080 |      87803 |      64774
    num cache misses                 |      18692 |      11216 |      16831 |      17165 |      16595 |      16635 |      16459 |      11704 |      16864 |      12707 |      13984 |      16702 |      16488 |      15562 |      15235 |       8599
    miss rate                        |     19.84% |     15.61% |     18.52% |     18.35% |     18.29% |     18.32% |     18.18% |     15.99% |     19.60% |     16.20% |     17.25% |     17.29% |     17.92% |     17.87% |     17.35% |     13.28%
    mpki                             |     123.55 |      98.31 |     115.46 |     114.26 |     114.01 |     114.23 |     113.31 |     100.59 |     122.44 |     101.64 |     108.08 |     107.50 |     111.62 |     111.59 |     108.31 |      84.09
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18747 |      11293 |      16919 |      17210 |      16652 |      16681 |      16517 |      11765 |      16926 |      12792 |      14032 |      16771 |      16526 |      15618 |      15322 |       8661
    num cache misses                 |      18706 |      11234 |      16849 |      17183 |      16613 |      16653 |      16477 |      11722 |      16882 |      12725 |      14001 |      16720 |      16506 |      15580 |      15253 |       8616
    miss rate                        |     99.78% |     99.48% |     99.59% |     99.84% |     99.77% |     99.83% |     99.76% |     99.63% |     99.74% |     99.48% |     99.78% |     99.70% |     99.88% |     99.76% |     99.55% |     99.48%
    mpki                             |     123.64 |      98.47 |     115.58 |     114.38 |     114.13 |     114.35 |     113.44 |     100.75 |     122.57 |     101.79 |     108.22 |     107.62 |     111.74 |     111.72 |     108.44 |      84.26
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18747 |      11293 |      16919 |      17210 |      16652 |      16681 |      16517 |      11765 |      16926 |      12792 |      14032 |      16771 |      16526 |      15618 |      15322 |       8661
    num cache misses                 |       6548 |       6192 |       8867 |       8923 |       8891 |       8917 |       9137 |       6885 |       6557 |       6992 |       7719 |       9914 |       9672 |       9049 |       8997 |       5294
    miss rate                        |     34.93% |     54.83% |     52.41% |     51.85% |     53.39% |     53.46% |     55.32% |     58.52% |     38.74% |     54.66% |     55.01% |     59.11% |     58.53% |     57.94% |     58.72% |     61.12%
    mpki                             |      43.28 |      54.27 |      60.83 |      59.39 |      61.08 |      61.23 |      62.90 |      59.17 |      47.61 |      55.93 |      59.66 |      63.81 |      65.48 |      64.89 |      63.96 |      51.77
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         89 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     238.43 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     185.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          5 |          4 |          5 |          4 |          3 |          4 |          5 |          4 |          3 |          3 |          3 |          3 |          3 |          4 |          3
