                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     528200 |     477803 |     571139 |     397733 |     580451 |     456110 |     593337 |     497195 |     584132 |     531471 |     504686 |     553682 |     553674 |     575804 |     603829 |     513291
  Cycles                             |    7328467 |    7328467 |    7328467 |    7328467 |    7328467 |    7328467 |    7328467 |    7328467 |    7328467 |    7328467 |    7328467 |    7328467 |    7328467 |    7328467 |    7328467 |    7328467
  IPC                                |       0.07 |       0.07 |       0.08 |       0.05 |       0.08 |       0.06 |       0.08 |       0.07 |       0.08 |       0.07 |       0.07 |       0.08 |       0.08 |       0.08 |       0.08 |       0.07
  Time (ns)                          |    2755063 |    2755063 |    2755063 |    2755063 |    2755063 |    2755063 |    2755063 |    2755063 |    2755063 |    2755063 |    2755063 |    2755063 |    2755063 |    2755063 |    2755063 |    2755063
  Idle time (ns)                     |     283767 |     565559 |      84614 |    1126169 |      36972 |     735306 |       3526 |     470668 |      32624 |     259383 |     428933 |     146615 |     192673 |      61943 |      23573 |     414860
  Idle time (%)                      |      10.3% |      20.5% |       3.1% |      40.9% |       1.3% |      26.7% |       0.1% |      17.1% |       1.2% |       9.4% |      15.6% |       5.3% |       7.0% |       2.2% |       0.9% |      15.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      70180 |      61772 |      77290 |      48454 |      78862 |      58171 |      81076 |      65030 |      79512 |      70731 |      66283 |      74427 |      74436 |      78111 |      82811 |      67709
  num incorrect                      |        195 |        199 |        237 |        172 |        217 |        185 |        150 |        173 |        186 |        185 |        178 |        191 |        182 |        194 |        169 |        177
  misprediction rate                 |      0.28% |      0.32% |      0.31% |      0.35% |      0.27% |      0.32% |      0.18% |      0.27% |      0.23% |      0.26% |      0.27% |      0.26% |      0.24% |      0.25% |      0.20% |      0.26%
  mpki                               |       0.37 |       0.42 |       0.41 |       0.43 |       0.37 |       0.41 |       0.25 |       0.35 |       0.32 |       0.35 |       0.35 |       0.34 |       0.33 |       0.34 |       0.28 |       0.34
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     146738 |     129928 |     161040 |     103238 |     164144 |     122699 |     168436 |     136392 |     165382 |     147819 |     138918 |     155223 |     155224 |     162597 |     171947 |     141759
    num cache misses                 |         16 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         17 |         18 |         16 |         18 |         17 |         18 |         17 |         18
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.04 |       0.03 |       0.05 |       0.03 |       0.04 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     296128 |     270920 |     317588 |     230885 |     322244 |     260081 |     328686 |     280616 |     324092 |     297762 |     284386 |     308867 |     308866 |     319928 |     333940 |     288672
    num cache misses                 |      68149 |      55326 |      68176 |      40957 |      70372 |      51206 |      70720 |      57700 |      75619 |      62581 |      58660 |      65674 |      66334 |      69119 |      70160 |      59184
    miss rate                        |     23.01% |     20.42% |     21.47% |     17.74% |     21.84% |     19.69% |     21.52% |     20.56% |     23.33% |     21.02% |     20.63% |     21.26% |     21.48% |     21.60% |     21.01% |     20.50%
    mpki                             |     129.02 |     115.79 |     119.37 |     102.98 |     121.24 |     112.27 |     119.19 |     116.05 |     129.46 |     117.75 |     116.23 |     118.61 |     119.81 |     120.04 |     116.19 |     115.30
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      68256 |      55411 |      68286 |      41056 |      70484 |      51299 |      70797 |      57782 |      75725 |      62682 |      58750 |      65772 |      66426 |      69222 |      70256 |      59278
    num cache misses                 |      68165 |      55344 |      68195 |      40975 |      70390 |      51224 |      70738 |      57718 |      75636 |      62599 |      58676 |      65692 |      66351 |      69137 |      70178 |      59202
    miss rate                        |     99.87% |     99.88% |     99.87% |     99.80% |     99.87% |     99.85% |     99.92% |     99.89% |     99.88% |     99.87% |     99.87% |     99.88% |     99.89% |     99.88% |     99.89% |     99.87%
    mpki                             |     129.05 |     115.83 |     119.40 |     103.02 |     121.27 |     112.31 |     119.22 |     116.09 |     129.48 |     117.78 |     116.26 |     118.65 |     119.84 |     120.07 |     116.22 |     115.34
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      68256 |      55411 |      68286 |      41056 |      70484 |      51299 |      70797 |      57782 |      75725 |      62682 |      58750 |      65772 |      66426 |      69222 |      70256 |      59278
    num cache misses                 |      24670 |      29259 |      37559 |      22139 |      39859 |      28348 |      41643 |      34107 |      27215 |      33779 |      32330 |      36377 |      36738 |      38322 |      39766 |      33985
    miss rate                        |     36.14% |     52.80% |     55.00% |     53.92% |     56.55% |     55.26% |     58.82% |     59.03% |     35.94% |     53.89% |     55.03% |     55.31% |     55.31% |     55.36% |     56.60% |     57.33%
    mpki                             |      46.71 |      61.24 |      65.76 |      55.66 |      68.67 |      62.15 |      70.18 |      68.60 |      46.59 |      63.56 |      64.06 |      65.70 |      66.35 |      66.55 |      65.86 |      66.21
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         89 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     244.58 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     191.15 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          4 |          4 |          3 |          4 |          3 |          3 |          3 |          3 |          3 |          5 |          3 |          3 |          8 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      14212 |      19859 |      23602 |      14584 |      23977 |      17942 |      23498 |      19835 |      15744 |      21320 |      19627 |      21754 |      21466 |      22791 |      23252 |      20912
