                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   43948189 |   43020984 |   45352927 |   45854120 |   45550892 |   42392915 |   39234404 |   43292502
  Cycles                             |   26368523 |   26368523 |   26368523 |   26368523 |   26368523 |   26368523 |   26368523 |   26368523
  IPC                                |       1.67 |       1.63 |       1.72 |       1.74 |       1.73 |       1.61 |       1.49 |       1.64
  Time (ns)                          |    9912979 |    9912979 |    9912979 |    9912979 |    9912979 |    9912979 |    9912979 |    9912979
  Idle time (ns)                     |     422767 |     619506 |     191570 |     101057 |     120435 |     731611 |    1355158 |     590851
  Idle time (%)                      |       4.3% |       6.2% |       1.9% |       1.0% |       1.2% |       7.4% |      13.7% |       6.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10750863 |   10519008 |   11101979 |   11227237 |   11151474 |   10362011 |    9572393 |   10586884
  num incorrect                      |        927 |        969 |        988 |       1019 |        983 |        959 |        940 |        987
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21506526 |   21042879 |   22208848 |   22459419 |   22307842 |   20728872 |   19149595 |   21178690
    num cache misses                 |         15 |         17 |         16 |         17 |         16 |         16 |         17 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   22231626 |   21768018 |   22933991 |   23184586 |   23032975 |   21453999 |   19874728 |   21903793
    num cache misses                 |       9861 |       9554 |      10514 |      10610 |      12886 |      12244 |      11096 |      11855
    miss rate                        |      0.04% |      0.04% |      0.05% |      0.05% |      0.06% |      0.06% |      0.06% |      0.05%
    mpki                             |       0.22 |       0.22 |       0.23 |       0.23 |       0.28 |       0.29 |       0.28 |       0.27
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11615 |      10653 |      11614 |      11713 |      13829 |      13206 |      12077 |      12797
    num cache misses                 |       2655 |       1417 |       1081 |        877 |       3465 |       2309 |       1438 |       1159
    miss rate                        |     22.86% |     13.30% |      9.31% |      7.49% |     25.06% |     17.48% |     11.91% |      9.06%
    mpki                             |       0.06 |       0.03 |       0.02 |       0.02 |       0.08 |       0.05 |       0.04 |       0.03
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4114 |       2370 |       1943 |       1696 |       3913 |       2743 |       1872 |       1585
    num cache misses                 |          9 |         12 |         14 |         11 |         11 |          6 |         12 |          5
    miss rate                        |      0.22% |      0.51% |      0.72% |      0.65% |      0.28% |      0.22% |      0.64% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     168.31 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     114.88 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          6 |          4 |          5 |          4 |          3 |          7 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
