                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     201066 |     237742 |     225390 |     188553
  Cycles                             |     410861 |     410861 |     410861 |     410861
  IPC                                |       0.49 |       0.58 |       0.55 |       0.46
  Time (ns)                          |     154459 |     154459 |     154459 |     154459
  Idle time (ns)                     |     107289 |     100871 |     103510 |     110579
  Idle time (%)                      |      69.5% |      65.3% |      67.0% |      71.6%
Branch predictor stats               |            |            |            |           
  num correct                        |      37134 |      46314 |      43238 |      34029
  num incorrect                      |        378 |        370 |        358 |        359
  misprediction rate                 |      1.01% |      0.79% |      0.82% |      1.04%
  mpki                               |       1.88 |       1.56 |       1.59 |       1.90
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      77993 |      96327 |      90157 |      71745
    num cache misses                 |         16 |         15 |         16 |         16
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.08 |       0.06 |       0.07 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     110059 |     128402 |     122231 |     103813
    num cache misses                 |       3916 |       4480 |       4317 |       3728
    miss rate                        |      3.56% |      3.49% |      3.53% |      3.59%
    mpki                             |      19.48 |      18.84 |      19.15 |      19.77
  Cache L2                           |            |            |            |           
    num cache accesses               |       4777 |       5094 |       5092 |       4452
    num cache misses                 |         15 |         17 |          8 |         11
    miss rate                        |      0.31% |      0.33% |      0.16% |      0.25%
    mpki                             |       0.07 |       0.07 |       0.04 |       0.06
  Cache L3                           |            |            |            |           
    num cache accesses               |         16 |         21 |         11 |         14
    num cache misses                 |         15 |         17 |          8 |         11
    miss rate                        |     93.75% |     80.95% |     72.73% |     78.57%
    mpki                             |       0.07 |       0.07 |       0.04 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     112.07 |        inf |        inf |        inf
  average dram queueing delay        |      58.64 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          6 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
