                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     168547 |     143984 |     177224 |     165255 |     174852 |     174052 |     176527 |     161595 |     148294 |     180834 |     149936 |     178657 |     163255 |     169983 |     170023 |     171782
  Cycles                             |    2638355 |    2638355 |    2638355 |    2638355 |    2638355 |    2638355 |    2638355 |    2638355 |    2638355 |    2638355 |    2638355 |    2638355 |    2638355 |    2638355 |    2638355 |    2638355
  IPC                                |       0.06 |       0.05 |       0.07 |       0.06 |       0.07 |       0.07 |       0.07 |       0.06 |       0.06 |       0.07 |       0.06 |       0.07 |       0.06 |       0.06 |       0.06 |       0.07
  Time (ns)                          |     991863 |     991863 |     991863 |     991863 |     991863 |     991863 |     991863 |     991863 |     991863 |     991863 |     991863 |     991863 |     991863 |     991863 |     991863 |     991863
  Idle time (ns)                     |      88382 |     271566 |      10121 |      94393 |      20078 |      25579 |      20956 |     125040 |     241846 |       4532 |     213111 |       8301 |     102557 |      65090 |      53070 |      40169
  Idle time (%)                      |       8.9% |      27.4% |       1.0% |       9.5% |       2.0% |       2.6% |       2.1% |      12.6% |      24.4% |       0.5% |      21.5% |       0.8% |      10.3% |       6.6% |       5.4% |       4.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      24418 |      19502 |      26165 |      23762 |      25670 |      25510 |      26017 |      22993 |      20366 |      26855 |      20707 |      26418 |      23358 |      24717 |      24733 |      25068
  num incorrect                      |         97 |        109 |         94 |        103 |        112 |        112 |        100 |        140 |        107 |        123 |         94 |        124 |        107 |         90 |         80 |         97
  misprediction rate                 |      0.40% |      0.56% |      0.36% |      0.43% |      0.43% |      0.44% |      0.38% |      0.61% |      0.52% |      0.46% |      0.45% |      0.47% |      0.46% |      0.36% |      0.32% |      0.39%
  mpki                               |       0.58 |       0.76 |       0.53 |       0.62 |       0.64 |       0.64 |       0.57 |       0.87 |       0.72 |       0.68 |       0.63 |       0.69 |       0.66 |       0.53 |       0.47 |       0.56
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      55020 |      45220 |      58516 |      53728 |      57558 |      57238 |      58228 |      52261 |      46944 |      59947 |      47600 |      59079 |      52928 |      55609 |      55621 |      56325
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         17 |         16 |         17 |         17 |         17
    miss rate                        |      0.03% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.09 |       0.11 |       0.09 |       0.10 |       0.09 |       0.09 |       0.09 |       0.10 |       0.11 |       0.09 |       0.11 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     104555 |      89838 |     109782 |     102600 |     108354 |     107874 |     109359 |     100401 |      92424 |     111940 |      93408 |     110635 |     101400 |     105432 |     105454 |     106510
    num cache misses                 |      26495 |      18225 |      24997 |      23149 |      25222 |      24976 |      25855 |      22582 |      21605 |      24626 |      19300 |      24657 |      22316 |      23707 |      24174 |      24077
    miss rate                        |     25.34% |     20.29% |     22.77% |     22.56% |     23.28% |     23.15% |     23.64% |     22.49% |     23.38% |     22.00% |     20.66% |     22.29% |     22.01% |     22.49% |     22.92% |     22.61%
    mpki                             |     157.20 |     126.58 |     141.05 |     140.08 |     144.25 |     143.50 |     146.46 |     139.74 |     145.69 |     136.18 |     128.72 |     138.01 |     136.69 |     139.47 |     142.18 |     140.16
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
