                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   19333059 |   19822245 |   19395831 |   19968828
  Cycles                             |   13139052 |   13139052 |   13139052 |   13139052
  IPC                                |       1.47 |       1.51 |       1.48 |       1.52
  Time (ns)                          |    4939493 |    4939493 |    4939493 |    4939493
  Idle time (ns)                     |     222428 |     131967 |     214030 |      99786
  Idle time (%)                      |       4.5% |       2.7% |       4.3% |       2.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    4596901 |    4719221 |    4612675 |    4755811
  num incorrect                      |        848 |        816 |        763 |        874
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    9198437 |    9442997 |    9229811 |    9516298
    num cache misses                 |         16 |         17 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    9923548 |   10168132 |    9954928 |   10241424
    num cache misses                 |       7134 |       7271 |       7150 |       7115
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.37 |       0.37 |       0.37 |       0.36
  Cache L2                           |            |            |            |           
    num cache accesses               |       8396 |       8285 |       8154 |       8114
    num cache misses                 |         10 |         19 |          7 |         10
    miss rate                        |      0.12% |      0.23% |      0.09% |      0.12%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         11 |         23 |         10 |         13
    num cache misses                 |         10 |         19 |          7 |         10
    miss rate                        |     90.91% |     82.61% |     70.00% |     76.92%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     145.13 |        inf |        inf |        inf
  average dram queueing delay        |      91.70 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          7 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
