                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     458011 |     371762 |     483769 |     496033 |     478185 |     498220 |     452017 |     553965
  Cycles                             |    3098730 |    3098730 |    3098730 |    3098730 |    3098730 |    3098730 |    3098730 |    3098730
  IPC                                |       0.15 |       0.12 |       0.16 |       0.16 |       0.15 |       0.16 |       0.15 |       0.18
  Time (ns)                          |    1164936 |    1164936 |    1164936 |    1164936 |    1164936 |    1164936 |    1164936 |    1164936
  Idle time (ns)                     |     101091 |     405882 |     127069 |     154798 |     114545 |     139038 |     311937 |     142950
  Idle time (%)                      |       8.7% |      34.8% |      10.9% |      13.3% |       9.8% |      11.9% |      26.8% |      12.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      58470 |      44092 |      62755 |      64822 |      61840 |      65164 |      57474 |      74479
  num incorrect                      |        205 |        209 |        213 |        193 |        198 |        215 |        205 |        190
  misprediction rate                 |      0.35% |      0.47% |      0.34% |      0.30% |      0.32% |      0.33% |      0.36% |      0.25%
  mpki                               |       0.45 |       0.56 |       0.44 |       0.39 |       0.41 |       0.43 |       0.45 |       0.34
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     123338 |      94593 |     131922 |     136022 |     130061 |     136748 |     121350 |     155328
    num cache misses                 |         14 |         16 |         17 |         16 |         17 |         16 |         16 |         17
    miss rate                        |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.03 |       0.04 |       0.03 |       0.04 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     261036 |     217909 |     273910 |     280045 |     271117 |     281135 |     258037 |     309010
    num cache misses                 |      50187 |      32748 |      46997 |      47407 |      46356 |      48231 |      41692 |      50756
    miss rate                        |     19.23% |     15.03% |     17.16% |     16.93% |     17.10% |     17.16% |     16.16% |     16.43%
    mpki                             |     109.58 |      88.09 |      97.15 |      95.57 |      96.94 |      96.81 |      92.24 |      91.62
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      50253 |      32822 |      47092 |      47482 |      46455 |      48346 |      41775 |      50839
    num cache misses                 |      31645 |      18788 |      26760 |      25983 |      28335 |      27164 |      21807 |      25806
    miss rate                        |     62.97% |     57.24% |     56.82% |     54.72% |     60.99% |     56.19% |     52.20% |     50.76%
    mpki                             |      69.09 |      50.54 |      55.32 |      52.38 |      59.26 |      54.52 |      48.24 |      46.58
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      31676 |      18808 |      26814 |      26016 |      28383 |      27217 |      21860 |      25855
    num cache misses                 |         10 |         12 |          9 |         10 |         10 |         10 |          9 |         19
    miss rate                        |      0.03% |      0.06% |      0.03% |      0.04% |      0.04% |      0.04% |      0.04% |      0.07%
    mpki                             |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     219.30 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     165.87 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          5 |          1 |          5 |          4 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
