                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     434586 |     463805 |     475878 |     491211 |     429393 |     360820 |     497974 |     502811
  Cycles                             |    3388364 |    3388364 |    3388364 |    3388364 |    3388364 |    3388364 |    3388364 |    3388364
  IPC                                |       0.13 |       0.14 |       0.14 |       0.14 |       0.13 |       0.11 |       0.15 |       0.15
  Time (ns)                          |    1273821 |    1273821 |    1273821 |    1273821 |    1273821 |    1273821 |    1273821 |    1273821
  Idle time (ns)                     |     133713 |     144538 |     253868 |     230855 |     134284 |     467359 |     101135 |     177130
  Idle time (%)                      |      10.5% |      11.3% |      19.9% |      18.1% |      10.5% |      36.7% |       7.9% |      13.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      63087 |      68887 |      71322 |      74399 |      62010 |      48337 |      75758 |      76724
  num incorrect                      |        236 |        283 |        263 |        252 |        281 |        235 |        245 |        250
  misprediction rate                 |      0.37% |      0.41% |      0.37% |      0.34% |      0.45% |      0.48% |      0.32% |      0.32%
  mpki                               |       0.54 |       0.61 |       0.55 |       0.51 |       0.65 |       0.65 |       0.49 |       0.50
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     132636 |     144331 |     149161 |     155291 |     130571 |     103134 |     157992 |     159941
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.03 |       0.04 |       0.05 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     274979 |     292519 |     299763 |     308955 |     271872 |     230719 |     313012 |     315927
    num cache misses                 |      64510 |      56571 |      53756 |      56073 |      51605 |      38119 |      59061 |      56496
    miss rate                        |     23.46% |     19.34% |     17.93% |     18.15% |     18.98% |     16.52% |     18.87% |     17.88%
    mpki                             |     148.44 |     121.97 |     112.96 |     114.15 |     120.18 |     105.65 |     118.60 |     112.36
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      64639 |      56691 |      53853 |      56189 |      51735 |      38283 |      59208 |      56642
    num cache misses                 |      36155 |      29008 |      25248 |      25987 |      32589 |      21572 |      32903 |      29178
    miss rate                        |     55.93% |     51.17% |     46.88% |     46.25% |     62.99% |     56.35% |     55.57% |     51.51%
    mpki                             |      83.19 |      62.54 |      53.06 |      52.90 |      75.90 |      59.79 |      66.07 |      58.03
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      36212 |      29078 |      25294 |      26034 |      32676 |      21676 |      33003 |      29262
    num cache misses                 |         16 |          5 |         11 |          7 |          4 |          7 |          8 |          6
    miss rate                        |      0.04% |      0.02% |      0.04% |      0.03% |      0.01% |      0.03% |      0.02% |      0.02%
    mpki                             |       0.04 |       0.01 |       0.02 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     125.92 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      72.49 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          4 |          6 |          4 |          5 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
