                                     | Core 0     | Core 1    
  Instructions                       |    1404538 |    1404595
  Cycles                             |   12753672 |   12753672
  IPC                                |       0.11 |       0.11
  Time (ns)                          |    4794614 |    4794614
  Idle time (ns)                     |    3425299 |    3425876
  Idle time (%)                      |      71.4% |      71.5%
Branch predictor stats               |            |           
  num correct                        |     110551 |     110548
  num incorrect                      |        720 |        717
  misprediction rate                 |      0.65% |      0.64%
  mpki                               |       0.51 |       0.51
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      19771 |      19786
    num cache misses                 |         24 |         25
    miss rate                        |      0.12% |      0.13%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     951540 |     951582
    num cache misses                 |       2129 |       2375
    miss rate                        |      0.22% |      0.25%
    mpki                             |       1.52 |       1.69
  Cache L2                           |            |           
    num cache accesses               |       2741 |       2741
    num cache misses                 |         35 |         12
    miss rate                        |      1.28% |      0.44%
    mpki                             |       0.02 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         37 |         15
    num cache misses                 |         35 |         12
    miss rate                        |     94.59% |     80.00%
    mpki                             |       0.02 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |     104.41 |        inf
  average dram queueing delay        |      50.98 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
