                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     502269 |     607435 |     541162 |     569929
  Cycles                             |    1265666 |    1265666 |    1265666 |    1265666
  IPC                                |       0.40 |       0.48 |       0.43 |       0.45
  Time (ns)                          |     475814 |     475814 |     475814 |     475814
  Idle time (ns)                     |     166502 |     100822 |     134176 |     118062
  Idle time (%)                      |      35.0% |      21.2% |      28.2% |      24.8%
Branch predictor stats               |            |            |            |           
  num correct                        |      65823 |      83315 |      72220 |      76945
  num incorrect                      |        229 |        268 |        318 |        386
  misprediction rate                 |      0.35% |      0.32% |      0.44% |      0.50%
  mpki                               |       0.46 |       0.44 |       0.59 |       0.68
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     138094 |     173159 |     151071 |     160657
    num cache misses                 |         16 |         16 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     283166 |     335759 |     302622 |     317006
    num cache misses                 |      53411 |      65098 |      58880 |      58120
    miss rate                        |     18.86% |     19.39% |     19.46% |     18.33%
    mpki                             |     106.34 |     107.17 |     108.80 |     101.98
  Cache L2                           |            |            |            |           
    num cache accesses               |      53495 |      65207 |      59029 |      58245
    num cache misses                 |         22 |          7 |         12 |          7
    miss rate                        |      0.04% |      0.01% |      0.02% |      0.01%
    mpki                             |       0.04 |       0.01 |       0.02 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         24 |         10 |         15 |         10
    num cache misses                 |         22 |          7 |         12 |          7
    miss rate                        |     91.67% |     70.00% |     80.00% |     70.00%
    mpki                             |       0.04 |       0.01 |       0.02 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     116.08 |        inf |        inf |        inf
  average dram queueing delay        |      62.65 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          3 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
