                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     734046 |     842868 |     881712 |     700908 |     767377 |     707481 |     521207 |     860070
  Cycles                             |     977840 |     977840 |     977840 |     977840 |     977840 |     977840 |     977840 |     977840
  IPC                                |       0.75 |       0.86 |       0.90 |       0.72 |       0.78 |       0.72 |       0.53 |       0.88
  Time (ns)                          |     367609 |     367609 |     367609 |     367609 |     367609 |     367609 |     367609 |     367609
  Idle time (ns)                     |     102172 |     108515 |     109692 |     162219 |     101586 |     138278 |     210234 |     107894
  Idle time (%)                      |      27.8% |      29.5% |      29.8% |      44.1% |      27.6% |      37.6% |      57.2% |      29.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     170234 |     197443 |     207160 |     162068 |     178507 |     163683 |     117134 |     201730
  num incorrect                      |        508 |        517 |        513 |        402 |        568 |        430 |        419 |        532
  misprediction rate                 |      0.30% |      0.26% |      0.25% |      0.25% |      0.32% |      0.26% |      0.36% |      0.26%
  mpki                               |       0.69 |       0.61 |       0.58 |       0.57 |       0.74 |       0.61 |       0.80 |       0.62
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     344415 |     398857 |     418293 |     327877 |     361055 |     331166 |     238068 |     407472
    num cache misses                 |         14 |         15 |         15 |         15 |         16 |         15 |         15 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     376538 |     430958 |     450385 |     359978 |     393204 |     363265 |     270134 |     439565
    num cache misses                 |       8510 |       8552 |       8852 |       6764 |       8570 |       7683 |       4864 |       8513
    miss rate                        |      2.26% |      1.98% |      1.97% |      1.88% |      2.18% |      2.11% |      1.80% |      1.94%
    mpki                             |      11.59 |      10.15 |      10.04 |       9.65 |      11.17 |      10.86 |       9.33 |       9.90
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9602 |       9437 |       9723 |       7646 |       9504 |       8502 |       5853 |       9386
    num cache misses                 |       2837 |       1855 |       1387 |       1129 |       2661 |       1908 |        994 |       1700
    miss rate                        |     29.55% |     19.66% |     14.27% |     14.77% |     28.00% |     22.44% |     16.98% |     18.11%
    mpki                             |       3.86 |       2.20 |       1.57 |       1.61 |       3.47 |       2.70 |       1.91 |       1.98
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3708 |       2420 |       2056 |       1828 |       3417 |       2640 |       1526 |       2433
    num cache misses                 |         13 |          4 |          4 |          5 |         11 |          6 |          5 |          9
    miss rate                        |      0.35% |      0.17% |      0.19% |      0.27% |      0.32% |      0.23% |      0.33% |      0.37%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     119.95 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      66.52 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          3 |          3 |          5 |          6 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
