                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     109255 |     108128 |     108539 |     107332 |     108603 |     108913 |     108450 |     109406 |     109332 |     109244 |     108860 |     107848 |     109084 |     107489 |     107105 |     108715
  Cycles                             |    3950262 |    3950262 |    3950262 |    3950262 |    3950262 |    3950262 |    3950262 |    3950262 |    3950262 |    3950262 |    3950262 |    3950262 |    3950262 |    3950262 |    3950262 |    3950262
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    1485061 |    1485061 |    1485061 |    1485061 |    1485061 |    1485061 |    1485061 |    1485061 |    1485061 |    1485061 |    1485061 |    1485061 |    1485061 |    1485061 |    1485061 |    1485061
  Idle time (ns)                     |    1318069 |    1321403 |    1323423 |    1322959 |    1312009 |    1325619 |    1320673 |    1313816 |    1307213 |    1320437 |    1322657 |    1319711 |    1320536 |    1314823 |    1330428 |    1320742
  Idle time (%)                      |      88.8% |      89.0% |      89.1% |      89.1% |      88.3% |      89.3% |      88.9% |      88.5% |      88.0% |      88.9% |      89.1% |      88.9% |      88.9% |      88.5% |      89.6% |      88.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10977 |      10917 |      10999 |      10923 |      10956 |      10963 |      10994 |      10947 |      10934 |      10968 |      10958 |      10944 |      10978 |      10923 |      10923 |      10946
  num incorrect                      |       1036 |       1047 |        975 |        961 |       1042 |       1055 |       1010 |       1082 |       1093 |       1030 |       1033 |        962 |       1032 |        977 |        956 |       1029
  misprediction rate                 |      8.62% |      8.75% |      8.14% |      8.09% |      8.68% |      8.78% |      8.41% |      8.99% |      9.09% |      8.58% |      8.61% |      8.08% |      8.59% |      8.21% |      8.05% |      8.59%
  mpki                               |       9.48 |       9.68 |       8.98 |       8.95 |       9.59 |       9.69 |       9.31 |       9.89 |      10.00 |       9.43 |       9.49 |       8.92 |       9.46 |       9.09 |       8.93 |       9.47
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18950 |      18814 |      18876 |      18752 |      18862 |      18908 |      18841 |      18981 |      18975 |      18999 |      18893 |      18819 |      18935 |      18736 |      18693 |      18916
    num cache misses                 |         24 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.22 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      56862 |      56376 |      56549 |      56072 |      56548 |      56684 |      56467 |      56911 |      56891 |      56878 |      56688 |      56285 |      56781 |      56131 |      55959 |      56652
    num cache misses                 |       5546 |       5358 |       5434 |       5362 |       5839 |       5279 |       5517 |       5685 |       5939 |       5697 |       5338 |       5436 |       5448 |       5533 |       5162 |       5276
    miss rate                        |      9.75% |      9.50% |      9.61% |      9.56% |     10.33% |      9.31% |      9.77% |      9.99% |     10.44% |     10.02% |      9.42% |      9.66% |      9.59% |      9.86% |      9.22% |      9.31%
    mpki                             |      50.76 |      49.55 |      50.06 |      49.96 |      53.76 |      48.47 |      50.87 |      51.96 |      54.32 |      52.15 |      49.04 |      50.40 |      49.94 |      51.48 |      48.20 |      48.53
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       7190 |       6850 |       6990 |       6918 |       7463 |       6739 |       7042 |       7213 |       7598 |       7384 |       6875 |       6991 |       6999 |       7136 |       6711 |       6800
    num cache misses                 |       5587 |       5436 |       5518 |       5434 |       5940 |       5363 |       5615 |       5791 |       5983 |       5813 |       5434 |       5539 |       5540 |       5656 |       5268 |       5380
    miss rate                        |     77.71% |     79.36% |     78.94% |     78.55% |     79.59% |     79.58% |     79.74% |     80.29% |     78.74% |     78.72% |     79.04% |     79.23% |     79.15% |     79.26% |     78.50% |     79.12%
    mpki                             |      51.14 |      50.27 |      50.84 |      50.63 |      54.69 |      49.24 |      51.78 |      52.93 |      54.72 |      53.21 |      49.92 |      51.36 |      50.79 |      52.62 |      49.19 |      49.49
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       7190 |       6850 |       6990 |       6918 |       7463 |       6739 |       7042 |       7213 |       7598 |       7384 |       6875 |       6991 |       6999 |       7136 |       6711 |       6800
    num cache misses                 |       3289 |       3197 |       3288 |       3431 |       3533 |       3079 |       3394 |       3374 |       3552 |       3467 |       3248 |       3188 |       3321 |       3305 |       3091 |       3132
    miss rate                        |     45.74% |     46.67% |     47.04% |     49.60% |     47.34% |     45.69% |     48.20% |     46.78% |     46.75% |     46.95% |     47.24% |     45.60% |     47.45% |     46.31% |     46.06% |     46.06%
    mpki                             |      30.10 |      29.57 |      30.29 |      31.97 |      32.53 |      28.27 |      31.30 |      30.84 |      32.49 |      31.74 |      29.84 |      29.56 |      30.44 |      30.75 |      28.86 |      28.81
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        130 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     282.27 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     228.85 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          8 |          7 |          5 |          5 |          5 |          6 |          6 |          5 |          4 |          4 |          4 |          4 |          4 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2000 |       1924 |       2035 |       2059 |       2160 |       1889 |       2016 |       2023 |       2231 |       2133 |       1995 |       2000 |       2034 |       2042 |       1893 |       1955
