                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3571521 |    3626692 |    4539995 |    3369959 |    4501853 |    4585307 |    4987457 |    3991853 |    3210158 |    4247756 |    3998351 |    4500287 |    4476710 |    4664126 |    4566893 |    4838637
  Cycles                             |   61680025 |   61680025 |   61680025 |   61680025 |   61680025 |   61680025 |   61680025 |   61680025 |   61680025 |   61680025 |   61680025 |   61680025 |   61680025 |   61680025 |   61680025 |   61680025
  IPC                                |       0.06 |       0.06 |       0.07 |       0.05 |       0.07 |       0.07 |       0.08 |       0.06 |       0.05 |       0.07 |       0.06 |       0.07 |       0.07 |       0.08 |       0.07 |       0.08
  Time (ns)                          |   23187980 |   23187980 |   23187980 |   23187980 |   23187980 |   23187980 |   23187980 |   23187980 |   23187980 |   23187980 |   23187980 |   23187980 |   23187980 |   23187980 |   23187980 |   23187980
  Idle time (ns)                     |    6617718 |    6217416 |     681421 |    7980727 |     963873 |     700850 |     442613 |    3978150 |    9237233 |    2380128 |    4091298 |    1227634 |    1526600 |     599814 |    1015999 |       4585
  Idle time (%)                      |      28.5% |      26.8% |       2.9% |      34.4% |       4.2% |       3.0% |       1.9% |      17.2% |      39.8% |      10.3% |      17.6% |       5.3% |       6.6% |       2.6% |       4.4% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     472450 |     481634 |     633808 |     438868 |     627466 |     641353 |     708365 |     542508 |     412194 |     585106 |     543576 |     627172 |     623279 |     654508 |     638319 |     683620
  num incorrect                      |        144 |        159 |        203 |        137 |        188 |        209 |        223 |        146 |        177 |        198 |        161 |        221 |        184 |        191 |        175 |        164
  misprediction rate                 |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03% |      0.03% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.06 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     951178 |     969581 |    1274015 |     884003 |    1261301 |    1289119 |    1423169 |    1091301 |     830736 |    1176602 |    1093467 |    1260779 |    1252920 |    1315392 |    1282981 |    1373559
