                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1026133 |    1262811 |    1208106 |    1239151
  Cycles                             |    1101469 |    1101469 |    1101469 |    1101469
  IPC                                |       0.93 |       1.15 |       1.10 |       1.12
  Time (ns)                          |     414086 |     414086 |     414086 |     414086
  Idle time (ns)                     |     148028 |      99784 |     110964 |     102470
  Idle time (%)                      |      35.7% |      24.1% |      26.8% |      24.7%
Branch predictor stats               |            |            |            |           
  num correct                        |     222987 |     282033 |     268374 |     276097
  num incorrect                      |        538 |        648 |        634 |        671
  misprediction rate                 |      0.24% |      0.23% |      0.24% |      0.24%
  mpki                               |       0.52 |       0.51 |       0.52 |       0.54
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     450009 |     568305 |     540953 |     556483
    num cache misses                 |         16 |         17 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     545090 |     663421 |     636066 |     651592
    num cache misses                 |       5321 |       6572 |       6293 |       6293
    miss rate                        |      0.98% |      0.99% |      0.99% |      0.97%
    mpki                             |       5.19 |       5.20 |       5.21 |       5.08
  Cache L2                           |            |            |            |           
    num cache accesses               |       6567 |       7477 |       7298 |       7257
    num cache misses                 |         20 |          9 |          7 |         10
    miss rate                        |      0.30% |      0.12% |      0.10% |      0.14%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         22 |         12 |         10 |         13
    num cache misses                 |         20 |          9 |          7 |         10
    miss rate                        |     90.91% |     75.00% |     70.00% |     76.92%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     164.56 |        inf |        inf |        inf
  average dram queueing delay        |     111.13 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          4 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
