                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   21431181 |   24787143 |   22829546 |   25896844
  Cycles                             |   13593164 |   13593164 |   13593164 |   13593164
  IPC                                |       1.58 |       1.82 |       1.68 |       1.91
  Time (ns)                          |    5110212 |    5110212 |    5110212 |    5110212
  Idle time (ns)                     |     773436 |     265994 |     560448 |      99785
  Idle time (%)                      |      15.1% |       5.2% |      11.0% |       2.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    4118289 |    4789440 |    4397925 |    5011389
  num incorrect                      |        353 |        401 |        396 |        391
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    8243274 |    9585671 |    8802632 |   10029551
    num cache misses                 |         16 |         17 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   12980936 |   14994522 |   13819965 |   15660346
    num cache misses                 |    4184453 |    4606465 |    4307638 |    4590213
    miss rate                        |     32.24% |     30.72% |     31.17% |     29.31%
    mpki                             |     195.25 |     185.84 |     188.69 |     177.25
  Cache L2                           |            |            |            |           
    num cache accesses               |    4184555 |    4606553 |    4307754 |    4590324
    num cache misses                 |         24 |          5 |          4 |          7
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         26 |          8 |          7 |         10
    num cache misses                 |         24 |          5 |          4 |          7
    miss rate                        |     92.31% |     62.50% |     57.14% |     70.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     112.61 |        inf |        inf |        inf
  average dram queueing delay        |      59.18 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          3 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
